"filename" "sentence" "value"
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Juliette_5.33.GS..txt" "chi_Juliette_5.33{GS}.txt" "euh j'ai fait xxx.
et après l'après midi j'ai fait du découpage." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Juliette_5.33.GS..txt.3" "chi_Juliette_5.33{GS}.txt" "mhm oui.
et puis le soir en fait j'ai fait caca j'ai fait caca aux toilettes." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Louise_6.75.CP..txt.9" "chi_Louise_6.75{CP}.txt" "en fait on.
c'était un un mardi un lundi et ben j'étais chez ma mamie." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Naël_7.09.CE1..txt.8" "chi_Naël_7.09{CE1}.txt" "euh ce soir on a mangé de la!
euh le matin on avait mangé un bol et un croissant et du pain de mie." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Naël_7.09.CE1..txt.12" "chi_Naël_7.09{CE1}.txt" "ah non c'est zelda parce que la nuit je rêve toujours de ça!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Oscar_6.74.CP..txt" "chi_Oscar_6.74{CP}.txt" "six sept.
euh si.
bah j'ai regardé des jeux vidéo." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Paul1_5.77.GS..txt.14" "chi_Paul1_5.77{GS}.txt" "mais pas de ce moment les vacances de très très longtemps!" 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Paul1_5.77.GS..txt.34" "chi_Paul1_5.77{GS}.txt" "ben non c'est plus le matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Samuel_6.89.CE1..txt.1" "chi_Samuel_6.89{CE1}.txt" "le matin on a eté euh." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Samuel_6.89.CE1..txt.3" "chi_Samuel_6.89{CE1}.txt" "et jusqu'à l'après midi on s'est habillés on a été au Macdo." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Samuel_6.89.CE1..txt.25" "chi_Samuel_6.89{CE1}.txt" "et maintenant je fais sans." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Stanislas_5.93.GS..txt" "chi_Stanislas_5.93{GS}.txt" "je me suis levé le matin." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Stanislas_5.93.GS..txt.4" "chi_Stanislas_5.93{GS}.txt" "après j'étais la le midi j'étais allé à la cantine." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Stanislas_5.93.GS..txt.5" "chi_Stanislas_5.93{GS}.txt" "après j'étais allé aux tables après le encore le midi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Timeo_6.46.CP..txt.3" "chi_Timeo_6.46{CP}.txt" "oh aujourd'hui." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Tristan_5.11.GS..txt.5" "chi_Tristan_5.11{GS}.txt" "et puis bah après euh bah c'était le soir donc j'ai dormi." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Tristan_5.11.GS..txt.12" "chi_Tristan_5.11{GS}.txt" "euh après bah c'était le matin sur la tablette." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVREXP.chi_Tristan_5.11.GS..txt.21" "chi_Tristan_5.11{GS}.txt" "euh bah ça c'est b-.
euh ch- alors euh je voudrais euh ce soir si j'ai encore le temps je pourrai peut être euh jouer à ma tablette." 1
"X.Users.cp.brainstorm.evalang.evalang.private.Data_Mars2023.rawtextchi.TVJS.chi_Tristan_5.11.GS..txt.135" "chi_Tristan_5.11{GS}.txt" "on est aujourd'hui faut bien peut être demain alors en fait." 0.5
