eh	INT	eh
la	DET:def	le
population	NOM	population
de	PRP	de
¤T¤	NAM	¤T¤
puisque	KON	puisque
dans	PRP	dans
le	DET:def	le
en	PRP	en
France	NAM	France
aujourd'hui	ADV	aujourd'hui
on	PRO:cls	on
arrête	VER:pres	arrêter
pas	ADV	pas
de	PRP	de
dire	VER:infi	dire
qu'	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
une	DET:ind	un
nouvelle	ADJ	nouveau
offre	NOM	offre
en	PRP	en
politique	NOM	politique
eh	INT	eh
ben	INT	ben
elle	PRO:cls	elle
était	VER:impf	être
là	ADV	là
la	DET:def	le
nouvelle	ADJ	nouveau
offre	NOM	offre
pendant	PRP	pendant
euh	INT	euh
ces	DET:dem	ce
six	NUM	@card@
mois	NOM	mois
à	PRP	à
sept	NUM	@card@
mois	NOM	mois
de	PRP	de
campagne	NOM	campagne
on	PRO:cls	on
était	VER:impf	être
là	ADV	là
pour	PRP	pour
proposer	VER:infi	proposer
une	DET:ind	un
nouvelle	ADJ	nouveau
offre	NOM	offre
l'	DET:def	le
offre	NOM	offre
des	PRP:det	du
jeunes	ADJ	jeune
l'	DET:def	le
offre	NOM	offre
du	PRP:det	du
du	PRP:det	du
dynamisme	NOM	dynamisme
et	KON	et
de	PRP	de
la	DET:def	le
rapidité	NOM	rapidité
et	KON	et
moi	PRO:ton	moi
en	PRO:clo	en
fait	VER:pres	faire
dans	PRP	dans
mon	DET:pos	mon
rôle	NOM	rôle
là	ADV	là
dedans	ADV	dedans
j'	PRO:cls	je
étais	VER:impf	être
euh	INT	euh
bon	INT	bon
évidement	NOM	évidement
on	PRO:cls	on
se	PRO:clo	se
donnait	VER:impf	donner
des	DET:ind	un
titres	NOM	titre
comme	KON	comme
ça	PRO:ton	ça
mais	KON	mais
euh	INT	euh
pff	INT	pff
chacun	PRO:ind	chacun
faisait	VER:impf	faire
comme	KON	comme
il	PRO:cls	il
pouvait	VER:impf	pouvoir
euh	INT	euh
mais	KON	mais
officiellement	ADV	officiellement
j'	PRO:cls	je
étais	VER:impf	être
directeur	NOM	directeur
en	PRP	en
communication	NOM	communication
et	KON	et
responsable	NOM	responsable
médiatique	ADJ	médiatique
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
ça	PRO:cls	ça
voulait	VER:impf	vouloir
dire	VER:infi	dire
en	PRO:clo	en
fait	VER:pres	faire
ça	PRO:cls	ça
voulait	VER:impf	vouloir
dire	VER:infi	dire
que	KON	que
hum	FNO	hum
je	PRO:cls	je
prenais	VER:impf	prendre
contact	NOM	contact
avec	PRP	avec
les	DET:def	le
journalistes	NOM	journaliste
je	PRO:cls	je
parlais	VER:impf	parler
avec	PRP	avec
certains	DET:ind	certains
membres	NOM	membre
de	PRP	de
la	DET:def	le
liste	NOM	liste
il	PRO:cls	il
fallait	VER:impf	falloir
que	KON	que
euh	INT	euh
que	KON	que
je	PRO:cls	je
fasse	VER:subp	faire
de	PRP	de
la	DET:def	le
pub	NOM:trc	publicité
pour	PRP	pour
euh	INT	euh
pour	PRP	pour
la	DET:def	le
liste	NOM	liste
pour	PRP	pour
¤N¤	NAM	¤N¤
pour	PRP	pour
¤Pren¤	NAM	<unknown>
pour	PRP	pour
euh	INT	euh
pour	PRP	pour
nos	DET:pos	notre
projets	NOM	projet
pour	PRP	pour
nos	DET:pos	notre
évènements	NOM	<unknown>
qui	PRO:rel	qui
allaient	VER:impf	aller
être	VER:infi	être
vraiment	ADV	vraiment
basés	VER:pper	baser
sur	PRP	sur
la	DET:def	le
campagne	NOM	campagne
et	KON	et
sur	PRP	sur
la	DET:def	le
volonté	NOM	volonté
de	PRP	de
montrer	VER:infi	montrer
aux	PRP:det	au
¤habitant¤	NAM	<unknown>
qu'	KON	que
on	PRO:cls	on
était	VER:impf	être
là	ADV	là
quoi	INT	quoi
qu'	KON	que
on	PRO:cls	on
avait	VER:impf	avoir
dix-neuf	NUM	@card@
ans	NOM	an
vingt	NUM	@card@
ans	NOM	an
mais	KON	mais
qu'	KON	que
on	PRO:cls	on
était	VER:impf	être
là	ADV	là
et	KON	et
euh	INT	euh
hum	FNO	hum
évidemment	ADV	évidemment
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
ça	PRO:cls	ça
voulait	VER:impf	vouloir
dire	VER:infi	dire
aussi	ADV	aussi
ça	PRO:cls	ça
voulait	VER:impf	vouloir
dire	VER:infi	dire
euh	INT	euh
travailler	VER:infi	travailler
aussi	ADV	aussi
sur	PRP	sur
les	DET:def	le
discours	NOM	discours
des	PRP:det	du
deux	NUM	@card@
meeting	NOM	meeting
qu'	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
euh	INT	euh
travailler	VER:infi	travailler
dans	PRP	dans
un	DET:ind	un
local	NOM	local
dans	PRP	dans
une	DET:ind	un
permanence	NOM	permanence
dans	PRP	dans
un	NUM	@card@
dans	PRP	dans
un	DET:ind	un
truc	NOM	truc
totalement	ADV	totalement
officiel	ADJ	officiel
non	FNO	non
c'	PRO:cls	ce
était	VER:impf	être
au	PRP:det	au
fin	NOM	fin
fond	NOM	fond
de	PRP	de
la	DET:def	le
cuisine	NOM	cuisine
¤N¤	NAM	¤N¤
voilà	FNO	voilà
pendant	PRP	pendant
que	KON	que
sa	DET:pos	son
mère	NOM	mère
préparait	VER:impf	préparer
les	DET:def	le
patates	NOM	patate
eh	INT	eh
ben	INT	ben
nous	PRO:ton	nous
on	PRO:cls	on
écrivait	VER:impf	écrire
des	DET:ind	un
discours	NOM	discours
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
assez	ADV	assez
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
c'	PRO:cls	ce
était	VER:impf	être
assez	ADV	assez
drôle	ADJ	drôle
déjà	ADV	déjà
mais	KON	mais
ça	PRO:cls	ça
donnait	VER:impf	donner
un	DET:ind	un
air	NOM	air
assez	ADV	assez
détendu	VER:pper	détendre
parce	TRC	parce
que	KON	que
évidement	NOM	évidement
une	DET:ind	un
énorme	ADJ	énorme
fantastique	NOM	fantastique
une	DET:ind	un
fantastique	NOM	fantastique
bonne	ADJ	bon
ambiance	NOM	ambiance
dans	PRP	dans
cette	DET:dem	ce
liste	NOM	liste
et	KON	et
euh	INT	euh
et	KON	et
on	PRO:cls	on
faisait	VER:impf	faire
ça	PRO:ton	ça
on	PRO:cls	on
prenait	VER:impf	prendre
ça	PRO:ton	ça
on	PRO:cls	on
prenait	VER:impf	prendre
pas	ADV	pas
ça	PRO:ton	ça
à	PRP	à
la	DET:def	le
légère	ADJ	léger
on	PRO:cls	on
savait	VER:impf	savoir
qu'	KON	que
on	PRO:cls	on
n'	ADV	ne
allait	VER:impf	aller
pas	ADV	pas
être	AUX:infi	être
élu	VER:pper	élire
donc	ADV	donc
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
qu'	KON	que
on	PRO:cls	on
faisait	VER:impf	faire
ça	PRO:ton	ça
sans	PRP	sans
aucune	DET:int	aucun
pression	NOM	pression
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
assez	ADV	assez
fantastique	ADJ	fantastique
parce	TRC	parce
que	KON	que
euh	INT	euh
on	PRO:cls	on
pouvait	VER:impf	pouvoir
dire	VER:infi	dire
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
voulait	VER:impf	vouloir
on	PRO:cls	on
allait	VER:impf	aller
pas	ADV	pas
nous	PRO:ton	nous
en	PRP	en
vouloir	VER:infi	vouloir
alors	ADV	alors
certes	ADV	certes
on	PRO:cls	on
avait	VER:impf	avoir
quand	KON	quand
même	ADV	même
un	DET:ind	un
certain	ADJ	certain
sérieux	ADJ	sérieux
dans	PRP	dans
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
disait	VER:impf	dire
mais	KON	mais
on	PRO:cls	on
attachait	VER:impf	attacher
quand	KON	quand
même	ADV	même
une	DET:ind	un
certaine	ADJ	certain
importance	NOM	importance
à	PRP	à
la	DET:def	le
forme	NOM	forme
et	KON	et
euh	INT	euh
également	ADV	également
au	PRP:det	au
fond	NOM	fond
parce	TRC	parce
que	KON	que
la	DET:def	le
plus	ADV	plus
grande	ADJ	grand
peur	NOM	peur
des	PRP:det	du
¤habitant¤	NAM	<unknown>
c'	PRO:cls	ce
était	VER:impf	être
oui	FNO	oui
mais	KON	mais
ces	DET:dem	ce
jeunes	ADJ	jeune
là	ADV	là
ils	PRO:cls	il
sont	VER:pres	être
que	KON	que
euh	INT	euh
que	KON	que
là	ADV	là
pour	PRP	pour
s'	PRO:clo	se
amuser	VER:infi	amuser
ils	PRO:cls	il
présentent	VER:pres	présenter
rien	PRO:ind	rien
c'	PRO:cls	ce
est	VER:pres	être
juste	ADV	juste
de	PRP	de
l'	DET:def	le
apparat	NOM	apparat
ils	PRO:cls	il
sont	VER:pres	être
là	ADV	là
euh	INT	euh
que	KON	que
pour	PRP	pour
dire	VER:infi	dire
on	PRO:cls	on
se	PRO:clo	se
présente	VER:pres	présenter
mais	KON	mais
en	PRP	en
fait	NOM	fait
on	PRO:cls	on
fait	VER:pres	faire
rien	PRO:ind	rien
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
du	DET:par	du
cirque	NOM	cirque
en	PRP	en
fait	NOM	fait
eh	INT	eh
ben	INT	ben
non	FNO	non
en	PRO:clo	en
fait	VER:pres	faire
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
rendus	VER:pper	rendre
compte	NOM	compte
tout	ADV	tout
de	PRP	de
suite	NOM	suite
après	ADV	après
la	DET:def	le
première	ADJ	premier
réunion	NOM	réunion
publique	ADJ	public
la	DET:def	le
première	ADJ	premier
réunion	NOM	réunion
publique	ADJ	public
c'	PRO:cls	ce
était	VER:impf	être
incroyable	ADJ	incroyable
le	DET:def	le
nombre	NOM	nombre
de	PRP	de
soutiens	NOM	soutien
qu'	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
eu	VER:pper	avoir
derrière	ADV	derrière
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
on	PRO:cls	on
avait	VER:impf	avoir
des	DET:ind	un
anciens	ADJ	ancien
maires	NOM	maire
qui	PRO:rel	qui
nous	PRO:clo	nous
ont	AUX:pres	avoir
soutenu	VER:pper	soutenir
des	DET:ind	un
personnalités	NOM	personnalité
qui	PRO:rel	qui
sont	AUX:pres	être
assez	ADV	assez
connues	VER:pper	connaître
qui	PRO:rel	qui
nous	PRO:clo	nous
ont	AUX:pres	avoir
soutenu	VER:pper	soutenir
aussi	ADV	aussi
qui	PRO:rel	qui
sont	AUX:pres	être
venus	VER:pper	venir
nous	PRO:clo	nous
féliciter	VER:infi	féliciter
avant	ADV	avant
même	ADJ	même
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
ai	AUX:pres	avoir
eu	VER:pper	avoir
le	DET:def	le
premier	ADJ	premier
tour	NOM	tour
qui	PRO:rel	qui
était	VER:impf	être
là	ADV	là
et	KON	et
euh	INT	euh
et	KON	et
on	PRO:cls	on
a	VER:pres	avoir
on	PRO:cls	on
a	AUX:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
à	PRP	à
à	PRP	à
comment	PRO:int	comment
dire	VER:infi	dire
à	PRP	à
arrimer	VER:infi	arrimer
des	DET:ind	un
gens	NOM	gens
à	PRP	à
notre	DET:pos	notre
projet	NOM	projet
on	PRO:cls	on
a	AUX:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
leur	PRO:clo	lui
faire	VER:infi	faire
croire	VER:infi	croire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
tout	ADV	tout
à	PRP	à
fait	NOM	fait
faisable	ADJ	faisable
et	KON	et
tout	PRO:ind	tout
à	PRP	à
fait	NOM	fait
viable	ADJ	viable
et	KON	et
euh	INT	euh
ce	PRO:dem	ce
dont	PRO:rel	dont
on	PRO:cls	on
avait	VER:impf	avoir
peur	NOM	peur
au	PRP:det	au
début	NOM	début
que	KON	que
les	DET:def	le
gens	NOM	gens
nous	PRO:clo	nous
croyaient	VER:impf	croire
pas	ADV	pas
eh	INT	eh
ben	INT	ben
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
dis	VER:pres	dire
en	PRP	en
sortant	VER:ppre	sortir
de	PRP	de
cette	DET:dem	ce
première	ADJ	premier
réunion	NOM	réunion
publique	ADJ	public
ces	DET:dem	ce
jeunes	ADJ	jeune
là	ADV	là
ils	PRO:cls	il
sont	VER:pres	être
sérieux	ADJ	sérieux
ils	PRO:cls	il
ont	VER:pres	avoir
des	DET:ind	un
véritables	ADJ	véritable
projets	NOM	projet
pour	PRP	pour
notre	DET:pos	notre
ville	NOM	ville
euh	INT	euh
hum	FNO	hum
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
euh	INT	euh
pleins	ADJ	plein
d'	PRP	un
évènements	NOM	<unknown>
pour	PRP	pour
promouvoir	VER:infi	promouvoir
ça	PRO:ton	ça
il	PRO:cls	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
des	DET:ind	un
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
la	DET:def	le
xxx	NOM	<unknown>
donc	ADV	donc
les	DET:def	le
meeting	NOM	meeting
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
les	DET:def	le
discours	NOM	discours
à	PRP	à
l'	DET:def	le
air	NOM	air
libre	ADJ	libre
devant	PRP	devant
quinze	NUM	@card@
personnes	NOM	personne
mais	KON	mais
quinze	NUM	@card@
personnes	NOM	personne
quand	KON	quand
même	ADV	même
euh	INT	euh
où	PRO:int	où
on	PRO:cls	on
disait	VER:impf	dire
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
voulait	VER:impf	vouloir
faire	VER:infi	faire
parce	TRC	parce
qu'	KON	que
évidemment	ADV	évidemment
on	PRO:cls	on
avait	VER:impf	avoir
pas	ADV	pas
les	DET:def	le
moyens	NOM	moyen
du	PRP:det	du
tout	ADV	tout
de	PRP	de
se	PRO:clo	se
payer	VER:infi	payer
une	DET:ind	un
permanence	NOM	permanence
le	DET:def	le
budget	NOM	budget
total	ADJ	total
qu'	KON	que
on	PRO:cls	on
qu'	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
dépensé	VER:pper	dépenser
en	PRP	en
six	NUM	@card@
mois	NOM	mois
c'	PRO:cls	ce
était	VER:impf	être
sept	NUM	@card@
cent	NUM	@card@
euros	NOM	euro
euh	INT	euh
sept	NUM	@card@
cent	NUM	@card@
euros	NOM	euro
ce	PRO:dem	ce
qui	PRO:rel	qui
euh	INT	euh
pff	INT	pff
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
totalement	ADV	totalement
dérisoire	ADJ	dérisoire
comparé	ADJ	comparé
aux	PRP:det	au
principaux	ADJ	principal
budgets	NOM	budget
nationaux	ADJ	national
qu'	PRO:rel	que
ont	AUX:pres	avoir
été	AUX:pper	être
lancés	VER:pper	lancer
euh	INT	euh
soutenus	VER:pper	soutenir
par	PRP	par
les	DET:def	le
partis	NOM	parti
pour	PRP	pour
chaque	DET:ind	chaque
ville	NOM	ville
pff	INT	pff
enfin	ADV	enfin
sept	NUM	@card@
cent	NUM	@card@
euros	NOM	euro
c'	PRO:cls	ce
est	VER:pres	être
totalement	ADV	totalement
dérisoire	ADJ	dérisoire
euh	INT	euh
hum	FNO	hum
d'	PRP	un
autant	ADV	autant
plus	ADV	plus
qu'	KON	que
on	PRO:cls	on
était	AUX:impf	être
remboursés	VER:pper	rembourser
suite	NOM	suite
aux	PRP:det	au
résultats	NOM	résultat
au	PRP:det	au
score	NOM	score
qu'	KON	que
on	PRO:cls	on
avait	AUX:impf	avoir
fait	VER:pper	faire
et	KON	et
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
eu	VER:pper	avoir
aussi	ADV	aussi
le	DET:def	le
débat	NOM	débat
le	DET:def	le
débat	NOM	débat
télévisé	ADJ	télévisé
où	PRO:rel	où
là	ADV	là
on	PRO:cls	on
a	AUX:pres	avoir
gagné	VER:pper	gagner
énormément	ADV	énormément
de	PRP	de
voix	NOM	voix
c'	PRO:cls	ce
était	VER:impf	être
sûr	ADJ	sûr
on	PRO:cls	on
avait	VER:impf	avoir
en	PRP	en
face	NOM	face
de	PRP	de
nous	PRO:ton	nous
nos	DET:pos	notre
deux	NUM	@card@
adversaires	NOM	adversaire
on	PRO:cls	on
avait	VER:impf	avoir
déjà	ADV	déjà
le	DET:def	le
gagnant	ADJ	gagnant
avant	NOM	avant
même	ADJ	même
que	KON	que
les	DET:def	le
votes	NOM	vote
soient	AUX:subp	être
aient	VER:subp	avoir
été	AUX:pper	être
établis	VER:pper	établir
on	PRO:cls	on
avait	VER:impf	avoir
déjà	ADV	déjà
le	DET:def	le
perdant	NOM	perdant
mais	KON	mais
j'	PRO:cls	je
ai	VER:pres	avoir
envie	NOM	envie
de	PRP	de
dire	VER:infi	dire
même	ADV	même
que	KON	que
dans	PRP	dans
cette	DET:dem	ce
élection	NOM	élection
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
trois	NUM	@card@
candidats	NOM	candidat
donc	ADV	donc
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
mon	DET:pos	mon
ami	NOM	ami
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
avait	VER:impf	avoir
un	NUM	@card@
qui	PRO:rel	qui
était	VER:impf	être
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
avait	VER:impf	avoir
et	KON	et
les	DET:def	le
deux	NUM	@card@
autres	ADJ	autre
étaient	VER:impf	être
à	PRP	à
droite	NOM	droite
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
avait	VER:impf	avoir
un	DET:ind	un
euh	INT	euh
il	PRO:clsi	il
s'	PRO:clo	se
appelait	VER:impf	appeler
donc	ADV	donc
euh	INT	euh
¤N¤	NAM	¤N¤
euh	INT	euh
une	DET:ind	un
personne	NOM	personne
qui	PRO:rel	qui
était	VER:impf	être
là	ADV	là
depuis	ADV	depuis
quasiment	ADV	quasiment
toute	DET:pre	tout
sa	DET:pos	son
naissance	NOM	naissance
euh	INT	euh
à	PRP	à
¤T¤	NAM	¤T¤
il	PRO:cls	il
était	AUX:impf	être
né	VER:pper	naître
à	PRP	à
Epinal	NAM	Epinal
mais	KON	mais
il	PRO:cls	il
a	AUX:pres	avoir
fait	VER:pper	faire
toute	ADV	tout
s-	TRC	s-
tout	DET:pre	tout
le	DET:def	le
reste	NOM	reste
de	PRP	de
sa	DET:pos	son
vie	NOM	vie
à	PRP	à
¤T¤	NAM	¤T¤
et	KON	et
on	PRO:cls	on
savait	VER:impf	savoir
déjà	ADV	déjà
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
qui	PRO:rel	qui
allait	VER:impf	aller
gagner	VER:infi	gagner
euh	INT	euh
hum	FNO	hum
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
avait	VER:impf	avoir
un	DET:ind	un
autre	ADJ	autre
un	DET:ind	un
certain	ADJ	certain
¤N¤	NAM	¤N¤
qui	PRO:rel	qui
était	VER:impf	être
aussi	ADV	aussi
de	PRP	de
droite	NOM	droite
mais	KON	mais
qui	PRO:rel	qui
est	AUX:pres	être
arrivé	VER:pper	arriver
à	PRP	à
¤T¤	NAM	¤T¤
tel	DET:dem	tel
un	DET:ind	un
véritable	ADJ	véritable
parachutiste	NOM	parachutiste
enfin	ADV	enfin
parachutiste	NOM	parachutiste
j'	PRO:cls	je
entends	VER:pres	entendre
par	PRP	par
là	ADV	là
l'	DET:def	le
expression	NOM	expression
qu'	KON	que
il	PRO:cls	il
était	AUX:impf	être
totalement	ADV	totalement
parachuté	VER:pper	parachuter
euh	INT	euh
hum	FNO	hum
ça	PRO:cls	ça
faisait	VER:impf	faire
deux	NUM	@card@
ans	NOM	an
à	PRP	à
peine	NOM	peine
qu'	KON	que
il	PRO:cls	il
était	VER:impf	être
là	ADV	là
et	KON	et
il	PRO:cls	il
arrêtait	VER:impf	arrêter
pas	ADV	pas
de	PRP	de
répéter	VER:infi	répéter
j'	PRO:cls	je
aime	VER:pres	aimer
cette	DET:dem	ce
ville	NOM	ville
j'	PRO:cls	je
aime	VER:pres	aimer
cette	DET:dem	ce
ville	NOM	ville
j'	PRO:cls	je
aime	VER:pres	aimer
cette	DET:dem	ce
ville	NOM	ville
enfin	ADV	enfin
bref	INT	bref
totalement	ADV	totalement
du	PRP:det	du
véritable	ADJ	véritable
charabia	NOM	charabia
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
le	DET:def	le
stéréotype	NOM	stéréotype
parfait	ADJ	parfait
du	PRP:det	du
politicien	NOM	politicien
politicien	ADJ	politicien
qui	PRO:rel	qui
je	PRO:cls	je
dis	VER:pres	dire
pas	ADV	pas
du	PRP:det	du
politique	NOM	politique
puisque	KON	puisque
politicien	NOM	politicien
est	VER:pres	être
un	DET:ind	un
terme	NOM	terme
tout	ADV	tout
à	PRP	à
fait	NOM	fait
péjoratif	ADJ	péjoratif
et	KON	et
là	ADV	là
je	PRO:cls	je
parle	VER:pres	parler
bien	ADV	bien
du	PRP:det	du
politicien	NOM	politicien
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
du	PRP:det	du
type	NOM	type
qui	PRO:rel	qui
ne	ADV	ne
voulait	VER:impf	vouloir
être	VER:infi	être
à	PRP	à
ce	DET:dem	ce
poste	NOM	poste
là	ADV	là
que	KON	que
pour	PRP	pour
être	VER:infi	être
à	PRP	à
ce	DET:dem	ce
poste	NOM	poste
là	ADV	là
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
sans	PRP	sans
aucune	DET:int	aucun
envie	NOM	envie
sans	PRP	sans
euh	INT	euh
véritable	ADJ	véritable
euh	INT	euh
projet	NOM	projet
enfin	ADV	enfin
si	KON	si
si	KON	si
si	KON	si
si	KON	si
si	KON	si
il	PRO:clsi	il
en	PRO:clo	en
avait	VER:impf	avoir
des	DET:ind	un
projets	NOM	projet
ah	INT	ah
ça	PRO:ton	ça
il	PRO:clsi	il
en	PRO:clo	en
avait	VER:impf	avoir
plein	ADV	plein
ah	INT	ah
il	PRO:clsi	il
en	PRO:clo	en
avait	VER:impf	avoir
plein	ADV	plein
c'	PRO:cls	ce
était	VER:impf	être
il	PRO:cls	il
voulait	VER:impf	vouloir
il	PRO:cls	il
voulait	VER:impf	vouloir
une	DET:ind	un
une	DET:ind	un
police	NOM	police
montée	VER:pper	monter
tiens	INT	tiens
sur	PRP	sur
des	DET:ind	un
chevaux	NOM	cheval
il	PRO:cls	il
voulait	VER:impf	vouloir
même	ADV	même
des	DET:ind	un
stands	NOM	stand
euh	INT	euh
des	DET:ind	un
stands	NOM	stand
euh	INT	euh
des	DET:ind	un
artisans	NOM	artisan
euh	INT	euh
sur	PRP	sur
toutes	DET:pre	tout
les	DET:def	le
places	NOM	place
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
euh	INT	euh
il	PRO:cls	il
voulait	VER:impf	vouloir
il	PRO:cls	il
voulait	VER:impf	vouloir
faire	VER:infi	faire
il	PRO:cls	il
voulait	VER:impf	vouloir
faire	VER:infi	faire
tellement	ADV	tellement
de	PRP	de
trucs	NOM	truc
pour	PRP	pour
la	DET:def	le
ville	NOM	ville
de	PRP	de
¤T¤	NAM	¤T¤
que	KON	que
au	PRP:det	au
final	NOM	final
il	PRO:clsi	il
aurait	AUX:cond	avoir
rien	PRO:ind	rien
pû	NAM:sig	<unknown>
faire	VER:infi	faire
euh	INT	euh
et	KON	et
puis	KON	puis
on	PRO:cls	on
avait	VER:impf	avoir
peur	NOM	peur
surtout	ADV	surtout
enfin	ADV	enfin
nous	PRO:ton	nous
on	PRO:cls	on
le	PRO:clo	le
savait	VER:impf	savoir
les	DET:def	le
gens	NOM	gens
ne	ADV	ne
le	PRO:clo	le
savaient	VER:impf	savoir
pas	ADV	pas
mais	KON	mais
nous	PRO:ton	nous
comme	KON	comme
on	PRO:cls	on
était	VER:impf	être
dans	PRP	dans
la	DET:def	le
campagne	NOM	campagne
du	PRP:det	du
coup	NOM	coup
on	PRO:cls	on
avait	VER:impf	avoir
des	DET:ind	un
des	DET:ind	un
des	DET:ind	un
des	DET:ind	un
renseignements	NOM	renseignement
sur	PRP	sur
les	DET:def	le
autres	ADJ	autre
et	KON	et
quand	KON	quand
on	PRO:cls	on
a	AUX:pres	avoir
su	VER:pper	savoir
qu'	KON	que
il	PRO:cls	il
avait	AUX:impf	avoir
employé	VER:pper	employer
soixante	NUM	@card@
douze	NUM	@card@
mille	NUM	@card@
euros	NOM	euro
dans	PRP	dans
toute	DET:pre	tout
sa	DET:pos	son
campagne	NOM	campagne
pour	PRP	pour
le	DET:def	le
score	NOM	score
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
fait	VER:pper	faire
comparé	VER:pper	comparer
au	PRP:det	au
nôtre	NOM	nôtre
où	PRO:rel	où
on	PRO:cls	on
a	AUX:pres	avoir
dépensé	VER:pper	dépenser
on	PRO:cls	on
avait	AUX:impf	avoir
fait	VER:pper	faire
un	DET:ind	un
léger	ADJ	léger
calcul	NOM	calcul
je	PRO:cls	je
crois	VER:pres	croire
ça	PRO:ton	ça
ça	PRO:ton	ça
on	PRO:cls	on
avait	VER:impf	avoir
il	PRO:cls	il
avait	AUX:impf	avoir
dépensé	VER:pper	dépenser
quatre	NUM	@card@
vingt	NUM	@card@
fois	NOM	fois
plus	ADV	plus
que	KON	que
nous	PRO:ton	nous
pour	PRP	pour
faire	VER:infi	faire
euh	INT	euh
je	PRO:cls	je
crois	VER:pres	croire
juste	ADV	juste
le	PRO:clo	le
double	VER:pres	doubler
un	DET:ind	un
peu	NOM	peu
un	DET:ind	un
peu	NOM	peu
plus	ADV	plus
du	PRP:det	du
double	NOM	double
de	PRP	de
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
avait	AUX:impf	avoir
fait	VER:pper	faire
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
totalement	ADV	totalement
dérisoire	ADJ	dérisoire
on	PRO:cls	on
passe	VER:pres	passer
de	PRP	de
sept	NUM	@card@
cent	NUM	@card@
euros	NOM	euro
pour	PRP	pour
un	DET:ind	un
résultat	NOM	résultat
et	KON	et
pour	PRP	pour
le	PRO:clo	le
doubler	VER:infi	doubler
on	PRO:cls	on
passe	VER:pres	passer
à	PRP	à
soixante	NUM	@card@
douze	NUM	@card@
mille	NUM	@card@
c'	PRO:cls	ce
était	VER:impf	être
bah	INT	bah
c'	PRO:cls	ce
était	VER:impf	être
totalement	ADV	totalement
aberrant	VER:ppre	aberrer
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
même	ADV	même
pour	PRP	pour
le	DET:def	le
coup	NOM	coup
ça	PRO:ton	ça
ça	PRO:cls	ça
paraissait	VER:impf	paraître
même	ADV	même
pour	PRP	pour
un	DET:ind	un
manque	NOM	manque
de	PRP	de
respect	NOM	respect
pour	PRP	pour
les	DET:def	le
¤habitant¤	NAM	<unknown>
tout	DET:pre	tout
cet	DET:dem	ce
argent	NOM	argent
engagé	VER:pper	engager
euh	INT	euh
pour	PRP	pour
