voilà	FNO	voilà
agaçement	NOM	<unknown>
parce	TRC	parce
que	KON	que
vous	PRO:cls	vous
êtes	VER:pres	être
fatiguée	ADJ	fatigué
et	KON	et
que	KON	que
ça	PRO:cls	ça
avance	VER:pres	avancer
pas	ADV	pas
ou	KON	ou
euh	INT	euh
vraiment	ADV	vraiment
peut-être	ADV	peut-être
de	PRP	de
l'	DET:def	le
affection	NOM	affection
très	ADV	très
forte	ADJ	fort
euh	INT	euh
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
qui	PRO:rel	qui
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
dans	PRP	dans
la	DET:def	le
vie	NOM	vie
euh	INT	euh
de	PRP	de
tous	DET:pre	tout
les	DET:def	le
jours	NOM	jour
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
avec	PRP	avec
des	DET:ind	un
enfants	NOM	enfant
ça	PRO:cls	ça
passe	VER:pres	passer
on	PRO:cls	on
sent	VER:pres	sentir
bien	ADV	bien
que	KON	que
ça	PRO:cls	ça
passe	VER:pres	passer
bien	ADV	bien
puis	KON	puis
d'	PRP	un
autres	ADJ	autre
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plus	ADV	plus
de	PRP	de
retenue	NOM	retenue
ou	KON	ou
bon	INT	bon
on	PRO:cls	on
les	PRO:clo	le
sent	VER:pres	sentir
euh	INT	euh
bon	INT	bon
il	PRO:cls	il
faut	VER:pres	falloir
voir	VER:infi	voir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
souvent	ADV	souvent
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
enfants	NOM	enfant
qui	PRO:rel	qui
sont	VER:pres	être
euh	INT	euh
plus	ADV	plus
ou	KON	ou
moins	ADV	moins
en	PRP	en
échec	NOM	échec
hein	INT	hein
au	PRP:det	au
niveau	NOM	niveau
du	PRP:det	du
s-	TRC	s-
au	PRP:det	au
niveau	NOM	niveau
scolaire	ADJ	scolaire
donc	ADV	donc
ça	PRO:cls	ça
arrive	VER:pres	arriver
qu'	KON	que
au	PRP:det	au
début	NOM	début
ils	PRO:cls	il
soient	AUX:subp	être
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
réticent	ADJ	réticent
ils	PRO:cls	il
se	PRO:clo	se
disent	VER:pres	dire
ah	INT	ah
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
me	PRO:clo	me
hum	FNO	hum
hum	FNO	hum
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:cls	elle
va	VER:pres	aller
encore	ADV	encore
me	PRO:clo	me
faire	VER:infi	faire
celle	PRO:dem	celui
là	ADV	là
euh	INT	euh
mais	KON	mais
euh	INT	euh
oui	FNO	oui
bon	INT	bon
s-	TRC	s-
c'	PRO:cls	ce
était	VER:impf	être
quoi	INT	quoi
la	DET:def	le
question	NOM	question
c'	PRO:cls	ce
était	VER:impf	être
si	KON	si
vous	PRO:cls	vous
ressentiez	VER:impf	ressentir
des	DET:ind	un
choses	NOM	chose
euh	INT	euh
comme	KON	comme
euh	INT	euh
de	PRP	de
l'	DET:def	le
agaçement	NOM	<unknown>
de	PRP	de
un	DET:ind	un
peu	NOM	peu
d'	PRP	un
affection	NOM	affection
ou	KON	ou
de	PRP	de
l'	DET:def	le
agaçement	NOM	<unknown>
non	FNO	non
il	PRO:cls	il
faut	VER:pres	falloir
avoir	VER:infi	avoir
de	PRP	de
la	DET:def	le
patience	NOM	patience
on	PRO:cls	on
a	VER:pres	avoir
de	PRP	de
la	DET:def	le
patience	NOM	patience
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
on	PRO:cls	on
le	PRO:clo	le
sait	VER:pres	savoir
on	PRO:cls	on
est	VER:pres	être
là	ADV	là
pour	PRP	pour
aider	VER:infi	aider
les	DET:def	le
enfants	NOM	enfant
puis	KON	puis
on	PRO:cls	on
a	VER:pres	avoir
une	DET:ind	un
relation	NOM	relation
duelle	NOM	<unknown>
aussi	ADV	aussi
avec	PRP	avec
eux	PRO:ton	eux
donc	ADV	donc
en	PRP	en
général	ADJ	général
ça	PRO:cls	ça
s-	TRC	s-
ça	PRO:cls	ça
se	PRO:clo	se
passe	VER:pres	passer
bien	ADV	bien
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
bon	INT	bon
je	PRO:cls	je
je	PRO:cls	je
ne	ADV	ne
le	PRO:clo	le
nie	VER:pres	nier
pas	ADV	pas
c'	PRO:cls	ce
est	VER:pres	être
relativement	ADV	relativement
rare	ADJ	rare
ça	PRO:cls	ça
arrive	VER:pres	arriver
que	KON	que
bon	INT	bon
ça	PRO:cls	ça
passe	VER:pres	passer
pas	ADV	pas
avec	PRP	avec
un	DET:ind	un
enfant	NOM	enfant
mais	KON	mais
bon	INT	bon
faut	VER:pres	falloir
pas	ADV	pas
lui	PRO:clo	lui
faire	VER:infi	faire
ressentir	VER:infi	ressentir
on	PRO:cls	on
lui	PRO:clo	lui
fait	VER:pres	faire
pas	ADV	pas
ressentir	VER:infi	ressentir
euh	INT	euh
on	PRO:cls	on
le	PRO:clo	le
prend	VER:pres	prendre
euh	INT	euh
comme	KON	comme
n'	ADV	ne
importe	VER:pres	importer
quel	DET:int	quel
autre	ADJ	autre
enfant	NOM	enfant
on	PRO:cls	on
travaille	VER:pres	travailler
avec	PRP	avec
lui	PRO:ton	lui
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
euh	INT	euh
on	PRO:cls	on
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
qu'	KON	que
on	PRO:cls	on
ressent	VER:pres	ressentir
un	DET:ind	un
petit	ADJ	petit
hum	FNO	hum
quelque	ADJ	<unknown>
chose	NOM	chose
en	PRP	en
plus	ADV	plus
ouais	FNO	ouais
hein	INT	hein
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
et	KON	et
vous	PRO:cls	vous
pensez	VER:pres	penser
que	KON	que
ça	PRO:ton	ça
vous	PRO:cls	vous
vous	PRO:clo	vous
le	PRO:clo	le
faites	VER:pres	faire
paraître	VER:infi	paraître
non	FNO	non
dans	PRP	dans
enfin	ADV	enfin
non	FNO	non
j'	PRO:cls	je
essaie	VER:pres	essayer
de	PRP	de
ne	ADV	ne
pas	ADV	pas
le	PRO:clo	le
faire	VER:infi	faire
paraître	VER:infi	paraître
hum	FNO	hum
hum	FNO	hum
non	FNO	non
non	FNO	non
d'	PRP	un
accord	NOM	accord
non	FNO	non
non	FNO	non
non	FNO	non
oh	INT	oh
non	FNO	non
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
important	ADJ	important
aussi	ADV	aussi
hein	INT	hein
euh	INT	euh
hum	FNO	hum
d'	PRP	un
autant	ADV	autant
plus	ADV	plus
que	KON	que
quand	KON	quand
souvent	ADV	souvent
quand	KON	quand
les	DET:def	le
enfants	NOM	enfant
euh	INT	euh
ont	VER:pres	avoir
des	DET:ind	un
difficultés	NOM	difficulté
ils	PRO:cls	il
ont	VER:pres	avoir
déjà	ADV	déjà
des	DET:ind	un
problèmes	NOM	problème
de	PRP	de
relation	NOM	relation
à	PRP	à
l'	DET:def	le
école	NOM	école
euh	INT	euh
donc	ADV	donc
euh	INT	euh
ici	ADV	ici
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
le	DET:def	le
lieu	NOM	lieu
où	PRO:rel	où
ben	INT	ben
justement	ADV	justement
il	PRO:cls	il
faut	VER:pres	falloir
qu'	KON	que
ils	PRO:cls	il
se	PRO:clo	se
déchargent	VER:pres	décharger
de	PRP	de
leurs	DET:pos	leur
problèmes	NOM	problème
ils	PRO:cls	il
savent	VER:pres	savoir
qu'	KON	que
ils	PRO:cls	il
sont	VER:pres	être
là	ADV	là
pour	PRP	pour
qu'	KON	que
on	PRO:cls	on
les	PRO:clo	le
aident	VER:pres	aider
pour	PRP	pour
qu'	KON	que
on	PRO:cls	on
euh	INT	euh
hein	INT	hein
hum	FNO	hum
hum	FNO	hum
on	PRO:cls	on
se	PRO:clo	se
met	VER:pres	mettre
à	PRP	à
leur	DET:pos	leur
niveau	NOM	niveau
en	PRP	en
général	NOM	général
je	PRO:cls	je
le	PRO:clo	le
dis	VER:pres	dire
toujours	ADV	toujours
au	PRP:det	au
moment	NOM	moment
du	PRP:det	du
bilan	NOM	bilan
euh	INT	euh
on	PRO:cls	on
est	VER:pres	être
là	ADV	là
pour	PRP	pour
aider	VER:infi	aider
on	PRO:cls	on
est	VER:pres	être
pas	ADV	pas
là	ADV	là
pour	PRP	pour
juger	VER:infi	juger
pour	PRP	pour
gronder	VER:infi	gronder
pour	PRP	pour
hein	INT	hein
i-	TRC	i-
bon	INT	bon
on	PRO:cls	on
on	PRO:cls	on
accepte	VER:pres	accepter
quelques	DET:ind	quelque
fois	NOM	fois
je	PRO:cls	je
gronde	VER:pres	gronder
aussi	ADV	aussi
hein	INT	hein
ça	PRO:ton	ça
ça	PRO:cls	ça
m'	PRO:clo	me
arrive	VER:pres	arriver
quand	KON	quand
même	ADV	même
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
rare	ADJ	rare
mais	KON	mais
euh	INT	euh
quand	KON	quand
on	PRO:cls	on
a	AUX:pres	avoir
vu	VER:pper	voir
quelque	ADJ	<unknown>
chose	NOM	chose
je	PRO:cls	je
leur	PRO:clo	lui
demande	VER:pres	demander
pas	ADV	pas
grand	ADJ	grand
chose	NOM	chose
l'	DET:def	le
une	NUM	@card@
fois	NOM	fois
à	PRP	à
l'	DET:def	le
autre	ADJ	autre
hum	FNO	hum
hum	FNO	hum
simplement	ADV	simplement
de	PRP	de
regarder	VER:infi	regarder
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
pour	PRP	pour
euh	INT	euh
et	KON	et
quand	KON	quand
on	PRO:cls	on
est	AUX:pres	être
obligé	VER:pper	obliger
de	PRP	de
reprendre	VER:infi	reprendre
plusieurs	DET:ind	plusieurs
fois	NOM	fois
la	DET:def	le
même	ADJ	même
chose	NOM	chose
là	ADV	là
euh	INT	euh
ouais	FNO	ouais
bon	INT	bon
je	PRO:cls	je
gronde	VER:pres	gronder
un	DET:ind	un
peu	NOM	peu
oui	FNO	oui
mais	KON	mais
bon	INT	bon
en	PRP	en
général	ADJ	général
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
rare	ADJ	rare
et	KON	et
euh	INT	euh
et	KON	et
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
ils	PRO:cls	il
se	PRO:clo	se
confient	VER:pres	confier
aussi	ADV	aussi
euh	INT	euh
vos	DET:pos	votre
patients	NOM	patient
ça	PRO:cls	ça
arrive	VER:pres	arriver
sur	PRP	sur
leur	DET:pos	leur
histoire	NOM	histoire
personnelle	ADJ	personnel
pas	ADV	pas
trop	ADV	trop
mais	KON	mais
sur	PRP	sur
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
sur	PRP	sur
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
ont	AUX:pres	avoir
fait	VER:pper	faire
à	PRP	à
l'	DET:def	le
école	NOM	école
ça	PRO:cls	ça
arrive	VER:pres	arriver
hum	FNO	hum
hum	FNO	hum
qu'	KON	que
ils	PRO:cls	il
racontent	VER:pres	raconter
euh	INT	euh
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
ont	AUX:pres	avoir
fait	VER:pper	faire
à	PRP	à
l'	DET:def	le
école	NOM	école
ou	KON	ou
à	PRP	à
la	DET:def	le
maison	NOM	maison
ou	KON	ou
ce	PRO:dem	ce
qui	PRO:rel	qui
leur	PRO:clo	lui
est	AUX:pres	être
arrivé	VER:pper	arriver
euh	INT	euh
hum	FNO	hum
hum	FNO	hum
oui	FNO	oui
sur	PRP	sur
leur	DET:pos	leur
histoire	NOM	histoire
personnelle	ADJ	personnel
euh	INT	euh
non	FNO	non
même	ADV	même
les	DET:def	le
adultes	NOM	adulte
euh	INT	euh
pas	ADV	pas
trop	ADV	trop
non	FNO	non
non	FNO	non
bon	INT	bon
disons	INT	disons
que	KON	que
au	PRP:det	au
niveau	NOM	niveau
du	PRP:det	du
bilan	NOM	bilan
on	PRO:cls	on
a	VER:pres	avoir
quand	KON	quand
même	ADV	même
on	PRO:cls	on
demande	VER:pres	demander
quand	KON	quand
même	ADV	même
des	DET:ind	un
renseignements	NOM	renseignement
oui	FNO	oui
han	NOM	<unknown>
on	PRO:cls	on
les	DET:def	le
gens	NOM	gens
disent	VER:pres	dire
c-	TRC	c-
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
aux	PRP:det	au
parents	NOM	parent
hein	INT	hein
qu'	KON	que
on	PRO:cls	on
demande	VER:pres	demander
hum	FNO	hum
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
aux	PRP:det	au
enfants	NOM	enfant
les	DET:def	le
gens	NOM	gens
disent	VER:pres	dire
ce	PRO:dem	ce
qu'	PRO:rel	que
ils	PRO:cls	il
veulent	VER:pres	vouloir
bien	ADV	bien
dire	VER:infi	dire
hum	FNO	hum
on	PRO:cls	on
s'	PRO:clo	se
en	PRO:clo	en
rend	VER:pres	rendre
bien	ADV	bien
compte	NOM	compte
des	PRP:det	du
fois	NOM	fois
qui	PRO:rel	qui
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
choses	NOM	chose
que	KON	que
qu'	KON	que
ils	PRO:cls	il
nous	PRO:clo	nous
disent	VER:pres	dire
pas	ADV	pas
euh	INT	euh
quelques	DET:ind	quelque
fois	NOM	fois
on	PRO:cls	on
a	VER:pres	avoir
des	DET:ind	un
des	DET:ind	un
suppléments	NOM	supplément
de	PRP	de
renseignement	NOM	renseignement
hum	FNO	hum
hum	FNO	hum
par	PRP	par
euh	INT	euh
l'	DET:def	le
école	NOM	école
ou	KON	ou
par	PRP	par
euh	INT	euh
voilà	FNO	voilà
ouais	FNO	ouais
mais	KON	mais
euh	INT	euh
non	FNO	non
en	PRP	en
général	ADJ	général
euh	INT	euh
je	PRO:cls	je
je	PRO:cls	je
les	PRO:clo	le
interroge	VER:pres	interroger
pas	ADV	pas
trop	ADV	trop
sur	PRP	sur
euh	INT	euh
d'	PRP	un
accord	NOM	accord
sur	PRP	sur
leur	DET:pos	leur
vie	NOM	vie
ou	KON	ou
euh	INT	euh
en	PRP	en
général	ADJ	général
non	FNO	non
oui	FNO	oui
tant	ADV	tant
que	KON	que
ça	PRO:cls	ça
touche	VER:pres	toucher
pas	ADV	pas
euh	INT	euh
à	PRP	à
leur	DET:pos	leur
éducation	NOM	éducation
ou	KON	ou
quoi	INT	quoi
que	KON	que
ce	PRO:dem	ce
soit	VER:subp	être
non	FNO	non
oui	FNO	oui
oui	FNO	oui
non	FNO	non
non	FNO	non
et	KON	et
du	PRP:det	du
coup	NOM	coup
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
avez	AUX:pres	avoir
déjà	ADV	déjà
été	AUX:pper	être
touchée	VER:pper	toucher
par	PRP	par
exemple	NOM	exemple
par	PRP	par
une	DET:ind	un
pathologie	NOM	pathologie
particulière	ADJ	particulier
euh	INT	euh
quelque	ADJ	<unknown>
chose	NOM	chose
d'	PRP	un
un	DET:ind	un
peu	NOM	peu
qui	PRO:rel	qui
pourrait	VER:cond	pouvoir
être	VER:infi	être
un	DET:ind	un
peu	NOM	peu
choquant	ADJ	choquant
ou	KON	ou
un	DET:ind	un
peu	NOM	peu
troublant	ADJ	troublant
euh	INT	euh
de	PRP	de
difficile	ADJ	difficile
à	PRP	à
voir	VER:infi	voir
peut-être	ADV	peut-être
pas	ADV	pas
en	PRP	en
libéral	ADJ	libéral
en	PRP	en
fait	NOM	fait
mais	KON	mais
euh	INT	euh
si	KON	si
si	KON	si
si	KON	si
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
gens	NOM	gens
qui	PRO:rel	qui
sont	VER:pres	être
qui	PRO:rel	qui
sont	AUX:pres	être
opérés	VER:pper	opérer
au	PRP:det	au
niveau	NOM	niveau
des	PRP:det	du
des	PRP:det	du
cordes	NOM	corde
vocales	ADJ	vocal
de	PRP	de
la	DET:def	le
gorge	NOM	gorge
et	KON	et
cetera	VER:futu	<unknown>
euh	INT	euh
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
fois	NOM	fois
pas	ADV	pas
très	ADV	très
ragoutant	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
dur	ADJ	dur
ça	PRO:ton	ça
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
vous	PRO:cls	vous
le	PRO:clo	le
dites	VER:pres	dire
pour	PRP	pour
vous	PRO:ton	vous
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
et	KON	et
euh	INT	euh
vous	PRO:cls	vous
vous	PRO:clo	vous
avez	VER:pres	avoir
du	PRP:det	du
mal	NOM	mal
à	PRP	à
parfois	ADV	parfois
contenir	VER:infi	contenir
vos	DET:pos	votre
émotions	NOM	émotion
non	FNO	non
mais	KON	mais
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
hum	FNO	hum
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
toujours	ADV	toujours
évident	ADJ	évident
ouais	FNO	ouais
et	KON	et
euh	INT	euh
mais	KON	mais
bon	INT	bon
faut	VER:pres	falloir
pas	ADV	pas
le	PRO:clo	le
faire	VER:infi	faire
ressentir	VER:infi	ressentir
hein	INT	hein
euh	INT	euh
oui	FNO	oui
oui	FNO	oui
ben	INT	ben
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
mais	KON	mais
là	ADV	là
pour	PRP	pour
euh	INT	euh
les	PRO:clo	le
réeduquer	VER:infi	<unknown>
ben	INT	ben
faut	VER:pres	falloir
euh	INT	euh
