alors	ADV	alors
de	PRP	de
voir	VER:infi	voir
comment	PRO:int	comment
ça	PRO:cls	ça
s'	PRO:clo	se
organise	VER:pres	organiser
différemment	ADV	différemment
hein	INT	hein
ouais	FNO	ouais
c'	PRO:cls	ce
était	VER:impf	être
super	ADV	super
drôle	ADJ	drôle
aussi	ADV	aussi
de	PRP	de
payer	VER:infi	payer
parce	TRC	parce
que	KON	que
je	PRO:cls	je
payais	VER:impf	payer
en	PRP	en
cash	ADV	cash
donc	ADV	donc
euh	INT	euh
si	KON	si
tu	PRO:cls	tu
veux	VER:pres	vouloir
c'	PRO:cls	ce
était	VER:impf	être
les	DET:def	le
sous	NOM	sou
tu	PRO:cls	tu
as	AUX:pres	avoir
dû	VER:pper	devoir
te	PRO:clo	te
sentir	VER:infi	sentir
riche	ADJ	riche
on	PRO:cls	on
payait	VER:impf	payer
en	PRP	en
mil-	NOM	<unknown>
en	PRP	en
millions	NOM	million
de	PRP	de
wons	NOM	<unknown>
euh	INT	euh
vu	VER:pper	voir
la	DET:def	le
différence	NOM	différence
ouais	FNO	ouais
carrément	ADV	carrément
et	KON	et
le	DET:def	le
truc	NOM	truc
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
là-bas	ADV	là-bas
i-	TRC	i-
comme	KON	comme
j-	TRC	j-
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
j'	PRO:cls	je
ai	AUX:pres	avoir
dû	VER:pper	devoir
te	PRO:clo	te
le	PRO:clo	le
dire	VER:infi	dire
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
de	DET:ind	un
petite	ADJ	petit
criminali-	NOM	<unknown>
criminalité	NOM	criminalité
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
entendu	VER:pper	entendre
parler	VER:infi	parler
les	DET:def	le
gens	NOM	gens
xxx	NOM	<unknown>
ont	VER:pres	avoir
absolument	ADV	absolument
pas	ADV	pas
cette	DET:dem	ce
idée	NOM	idée
de	PRP	de
de	DET:ind	un
petits	ADJ	petit
vols	NOM	vol
euh	INT	euh
d'	PRP	un
accord	NOM	accord
ouais	FNO	ouais
pickpocket	NOM	pickpocket
et	KON	et
tout	DET:pre	tout
ça	PRO:ton	ça
q-	TRC	<unknown>
existe	VER:pres	exister
pas	ADV	pas
là-bas	ADV	là-bas
et	KON	et
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
ce	PRO:dem	ce
qui	PRO:rel	qui
était	VER:impf	être
marrant	ADJ	marrant
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
du	PRP:det	du
coup	NOM	coup
je	PRO:cls	je
me	PRO:clo	me
ramène	VER:pres	ramener
avec	PRP	avec
mon	DET:pos	mon
argent	NOM	argent
mes	DET:pos	mon
millions	NOM	million
dans	PRP	dans
mon	DET:pos	mon
sac	NOM	sac
et	KON	et
euh	INT	euh
i-	TRC	i-
on	PRO:cls	on
fait	VER:pres	faire
ça	PRO:ton	ça
dans	PRP	dans
un	DET:ind	un
café	NOM	café
alors	ADV	alors
un	DET:ind	un
café	NOM	café
type	NOM	type
Starbucks	NOM	<unknown>
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
.	NAM	<unknown>
c'	PRO:cls	ce
est	AUX:pres	être
très	ADV	très
réputé	VER:pper	réputer
là-bas	ADV	là-bas
en	PRP	en
Corée	NAM	<unknown>
et	KON	et
euh	INT	euh
bon	INT	bon
ben	INT	ben
le	DET:def	le
moment	NOM	moment
de	PRP	de
payer	VER:infi	payer
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
j'	PRO:cls	je
essaye	VER:pres	essayer
d'	PRP	un
être	VER:infi	être
discret	ADJ	discret
donc	ADV	donc
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
j'	PRO:cls	je
ai	AUX:pres	avoir
cherché	VER:pper	chercher
une	DET:ind	un
espèce	NOM	espèce
d'	PRP	un
enveloppe	NOM	enveloppe
et	KON	et
puis	KON	puis
j'	PRO:cls	je
ai	AUX:pres	avoir
mis	VER:pper	mettre
mon	DET:pos	mon
argent	NOM	argent
dedans	ADV	dedans
je	PRO:cls	je
lui	PRO:clo	lui
donne	VER:pres	donner
deux	NUM	@card@
trois	NUM	@card@
enveloppes	NOM	enveloppe
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
lui	PRO:ton	lui
monsieur	NOM	monsieur
il	PRO:cls	il
sort	VER:pres	sortir
tout	PRO:ind	tout
il	PRO:cls	il
doit	VER:pres	devoir
compter	VER:infi	compter
donc	ADV	donc
il	PRO:cls	il
sort	VER:pres	sortir
tout	PRO:ind	tout
et	KON	et
il	PRO:cls	il
pose	VER:pres	poser
sur	PRP	sur
la	DET:def	le
table	NOM	table
ah	INT	ah
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
du	PRP:det	du
coup	NOM	coup
tu	PRO:cls	tu
avais	VER:impf	avoir
genre	NOM	genre
plusieurs	DET:ind	plusieurs
millions	NOM	million
de	PRP	de
wons	NOM	<unknown>
devant	PRP	devant
lui	PRO:ton	lui
étalés	VER:pper	étaler
sur	PRP	sur
la	DET:def	le
table	NOM	table
je	PRO:cls	je
fais	VER:pres	faire
bon	INT	bon
ben	INT	ben
écoute	VER:impe	écouter
euh	INT	euh
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
euh	INT	euh
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
c-	TRC	c-
pour	PRP	pour
moi	PRO:ton	moi
ça	PRO:cls	ça
me	PRO:clo	me
paraissait	VER:impf	paraître
bizarre	ADJ	bizarre
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
un	DET:ind	un
truc	NOM	truc
que	KON	que
tu	PRO:cls	tu
ferais	VER:cond	faire
en	PRP	en
France	NAM	France
mais	KON	mais
jamais	ADV	jamais
de	PRP	de
la	DET:def	le
vie	NOM	vie
mais	KON	mais
bien	ADV	bien
sûr	ADJ	sûr
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
en	PRP	en
France	NAM	France
ils	PRO:cls	il
viennent	VER:pres	venir
et	KON	et
pff	INT	pff
ils	PRO:cls	il
chopent	VER:pres	choper
et	KON	et
ils	PRO:cls	il
se	PRO:clo	se
cassent	VER:pres	casser
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
clair	ADJ	clair
mais	KON	mais
là	ADV	là
en	PRP	en
Corée	NAM	<unknown>
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
le	DET:def	le
cas	NOM	cas
hum	FNO	hum
d'	PRP	un
ailleurs	ADV	ailleurs
même	ADV	même
la	DET:def	le
banque	NOM	banque
je	PRO:cls	je
trouvais	VER:impf	trouver
ça	PRO:ton	ça
drôle	ADJ	drôle
parce	TRC	parce
que	KON	que
quand	KON	quand
je	PRO:cls	je
suis	AUX:pres	être
parti	VER:pper	partir
faire	VER:infi	faire
mon	DET:pos	mon
compte	NOM	compte
bancaire	ADJ	bancaire
euh	INT	euh
en	PRP	en
Corée	NAM	<unknown>
euh	INT	euh
en	PRP	en
France	NAM	France
ils	PRO:cls	il
sont	AUX:pres	être
très	ADV	très
sécurisés	VER:pper	sécuriser
tu	PRO:cls	tu
as	VER:pres	avoir
vr-	TRC	vr-
genre	NOM	genre
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
une	DET:ind	un
barrière	NOM	barrière
entre	PRP	entre
la	DET:def	le
personne	NOM	personne
qui	PRO:rel	qui
travaille	VER:pres	travailler
euh	INT	euh
la	DET:def	le
la	DET:def	le
banquière	NOM	banquière
et	KON	et
euh	INT	euh
ou	KON	ou
le	DET:def	le
banquier	NOM	banquier
et	KON	et
euh	INT	euh
et	KON	et
le	DET:def	le
client	NOM	client
et	KON	et
là-bas	ADV	là-bas
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
bureau	NOM	bureau
donc	ADV	donc
si	KON	si
tu	PRO:cls	tu
veux	VER:pres	vouloir
ils	PRO:cls	il
rangent	VER:pres	ranger
l'	DET:def	le
argent	NOM	argent
dans	PRP	dans
des	DET:ind	un
tiroirs	NOM	tiroir
des	PRP:det	du
trucs	NOM	truc
comme	KON	comme
ça	PRO:ton	ça
donc	ADV	donc
t-	TRC	t-
pareil	ADV	pareil
tu	PRO:cls	tu
te	PRO:clo	te
ramènes	VER:pres	ramener
avec	PRP	avec
plusieurs	DET:ind	plusieurs
millions	NOM	million
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
aucune	DET:ind	aucun
sécurité	NOM	sécurité
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
ils	PRO:cls	il
prennent	VER:pres	prendre
les	DET:def	le
sous	NOM	sou
ils	PRO:cls	il
les	PRO:clo	le
rangent	VER:pres	ranger
dans	PRP	dans
leurs	DET:pos	leur
tiroirs	NOM	tiroir
et	KON	et
puis	KON	puis
ils	PRO:cls	il
te	PRO:clo	te
donnent	VER:pres	donner
un	DET:ind	un
reçu	NOM	reçu
et	KON	et
basta	VER:simp	baster
tu	PRO:cls	tu
vois	VER:pres	voir
ils	PRO:cls	il
s-	TRC	s-
ils	PRO:cls	il
ont	VER:pres	avoir
pas	ADV	pas
une	DET:ind	un
espèce	NOM	espèce
de	PRP	de
coffre	NOM	coffre
mais	KON	mais
comment	PRO:int	comment
ça	PRO:cls	ça
se	PRO:clo	se
fait	VER:pres	faire
ça	PRO:ton	ça
enfin	ADV	enfin
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
si	KON	si
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
présence	NOM	présence
policière	ADJ	policier
importante	ADJ	important
ou	KON	ou
bien	ADV	bien
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
dans	PRP	dans
leur	DET:pos	leur
culture	NOM	culture
c'	PRO:cls	ce
est	VER:pres	être
même	ADV	même
pas	ADV	pas
euh	INT	euh
non	FNO	non
non	FNO	non
c-	TRC	c-
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
dans	PRP	dans
la	DET:def	le
culture	NOM	culture
non	FNO	non
non	FNO	non
c-	TRC	c-
c'	PRO:cls	ce
est	VER:pres	être
p-	TRC	p-
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
c-	TRC	c-
c-	TRC	c-
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
dans	PRP	dans
la	DET:def	le
culture	NOM	culture
donc	ADV	donc
euh	INT	euh
ils	PRO:cls	il
ont	VER:pres	avoir
pas	ADV	pas
cette	DET:dem	ce
idée	NOM	idée
de	PRP	de
bon	INT	bon
je	PRO:cls	je
sais	VER:pres	savoir
où	PRO:int	où
je	PRO:cls	je
vais	VER:pres	aller
aller	VER:infi	aller
habiter	VER:infi	habiter
surtout	ADV	surtout
qu'	KON	que
on	PRO:cls	on
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
qu'	KON	que
apparemment	ADV	apparemment
les	DET:def	le
hommes	NOM	homme
étaient	VER:impf	être
des	DET:ind	un
princes	NOM	prince
charmants	ADJ	charmant
et	KON	et
qu'	KON	que
il	PRO:cls	il
fallait	VER:impf	falloir
que	KON	que
oui	FNO	oui
ils	PRO:cls	il
sont	VER:pres	être
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
ah	INT	ah
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
hein	INT	hein
les	DET:def	le
pauvres	NOM	pauvre
ils	PRO:cls	il
ont	VER:pres	avoir
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
la	DET:def	le
réputation	NOM	réputation
d'	PRP	un
être	AUX:infi	être
dominés	VER:pper	dominer
par	PRP	par
les	DET:def	le
femmes	NOM	femme
ah	INT	ah
ben	INT	ben
voilà	VER	voilà
parfait	VER:pper	parfaire
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
tu	PRO:cls	tu
les	PRO:clo	le
vois	VER:pres	voir
ils	PRO:cls	il
s'	PRO:clo	se
écrasent	VER:pres	écraser
hein	INT	hein
un	DET:ind	un
peu	NOM	peu
quand	KON	quand
même	ADV	même
je	PRO:cls	je
trouve	VER:pres	trouver
euh	INT	euh
ouais	FNO	ouais
les	DET:def	le
hommes	NOM	homme
euh	INT	euh
là-bas	ADV	là-bas
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
rare	ADJ	rare
quand	KON	quand
même	ADV	même
b-	TRC	b-
nous	PRO:ton	nous
on	PRO:cls	on
a	VER:pres	avoir
moi	PRO:ton	moi
j'	PRO:cls	je
avais	VER:impf	avoir
pas	ADV	pas
peur	NOM	peur
de	PRP	de
me	PRO:clo	me
balader	VER:infi	balader
dehors	ADV	dehors
quoi	INT	quoi
ouais	FNO	ouais
le	DET:def	le
soir	NOM	soir
à	PRP	à
trois	NUM	@card@
heures	NOM	heure
du	PRP:det	du
matin	NOM	matin
ou	KON	ou
des	DET:ind	un
choses	NOM	chose
comme	KON	comme
ça	PRO:ton	ça
quand	KON	quand
on	PRO:cls	on
se	PRO:clo	se
balade	VER:pres	balader
ou	KON	ou
des	DET:ind	un
choses	NOM	chose
comme	KON	comme
ça	PRO:ton	ça
on	PRO:cls	on
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
peur	NOM	peur
de	PRP	de
se	PRO:clo	se
faire	VER:infi	faire
attaquer	VER:infi	attaquer
hum	FNO	hum
en	PRP	en
plus	ADV	plus
bon	INT	bon
tu	PRO:cls	tu
étais	VER:impf	être
avec	PRP	avec
moi	PRO:ton	moi
quasiment	ADV	quasiment
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
mais	KON	mais
euh	INT	euh
puis	KON	puis
bon	INT	bon
¤Pren¤	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
noir	ADJ	noir
il	PRO:cls	il
fait	VER:pres	faire
peur	NOM	peur
quand	KON	quand
même	ADV	même
ah	INT	ah
oui	FNO	oui
xxx	NOM	<unknown>
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
autre	ADJ	autre
point	NOM	point
euh	INT	euh
en	PRP	en
plus	ADV	plus
pour	PRP	pour
là-bas	ADV	là-bas
enfin	ADV	enfin
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
tu	PRO:cls	tu
faisais	VER:impf	faire
vraiment	ADV	vraiment
différent	ADJ	différent
non	FNO	non
ah	INT	ah
mais	KON	mais
euh	INT	euh
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
si	KON	si
j'	PRO:cls	je
étais	VER:impf	être
pas	ADV	pas
le	DET:def	le
seul	ADJ	seul
et	KON	et
puis	KON	puis
moi	PRO:ton	moi
je	PRO:cls	je
suis	VER:pres	être
métis	ADJ	métis
donc	ADV	donc
euh	INT	euh
tu	PRO:cls	tu
en	PRO:clo	en
avais	AUX:impf	avoir
vraiment	ADV	vraiment
beaucoup	ADV	beaucoup
plus	ADV	plus
black	NOM	<unknown>
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
vus	VER:pper	voir
quand	KON	quand
on	PRO:cls	on
était	VER:impf	être
à	PRP	à
Daegu	NAM	<unknown>
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
s-	TRC	s-
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
as	VER:pres	avoir
c'	PRO:cls	ce
était	VER:impf	être
hum	FNO	hum
ben	INT	ben
tu	PRO:cls	tu
as	VER:pres	avoir
les	DET:def	le
internationaux	NOM	international
et	KON	et
tu	PRO:cls	tu
as	VER:pres	avoir
des	DET:ind	un
gens	NOM	gens
qui	PRO:rel	qui
viennent	VER:pres	venir
de	PRP	de
de	PRP	de
pays	NOM	pays
in-	TRC	in-
genre	NOM	genre
l'	DET:def	le
Afrique	NOM	<unknown>
du	PRP:det	du
Sud	NOM	sud
des	PRP:det	du
trucs	NOM	truc
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
gens	NOM	gens
de	PRP	de
couleur	NOM	couleur
quoi	INT	quoi
des	DET:ind	un
black	NOM	<unknown>
et	KON	et
euh	INT	euh
ça	PRO:cls	ça
fait	VER:pres	faire
pour	PRP	pour
beaucoup	ADV	beaucoup
de	PRP	de
Coréens	NOM	coréen
c'	PRO:cls	ce
est	VER:pres	être
ils	PRO:cls	il
ont	VER:pres	avoir
encore	ADV	encore
du	PRP:det	du
mal	NOM	mal
hein	INT	hein
ça	PRO:cls	ça
choque	VER:pres	choquer
encore	ADV	encore
ouais	FNO	ouais
ouais	FNO	ouais
hum	FNO	hum
ouais	FNO	ouais
d'	PRP	un
ailleurs	ADV	ailleurs
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
ce	DET:dem	ce
ce	DET:dem	ce
cette	DET:dem	ce
vidéo	NOM	vidéo
où	PRO:int	où
cette	DET:dem	ce
hum	FNO	hum
ce	DET:dem	ce
gif	NOM	<unknown>
animé	VER:pper	animer
sur	PRP	sur
ordinateur	NOM	ordinateur
là	ADV	là
où	PRO:int	où
tu	PRO:cls	tu
as	VER:pres	avoir
euh	INT	euh
une	DET:ind	un
hum	FNO	hum
une	DET:ind	un
mamie	NOM	mamie
coréenne	ADJ	coréen
tu	PRO:cls	tu
la	PRO:clo	le
vois	VER:pres	voir
et	KON	et
là	ADV	là
tu	PRO:cls	tu
vois	VER:pres	voir
un	DET:ind	un
mec	NOM	mec
arriver	VER:infi	arriver
par-derrière	NOM	<unknown>
avec	PRP	avec
un	DET:ind	un
masque	NOM	masque
de	PRP	de
Iron	NOM	<unknown>
Man	NOM	man
genre	NOM	genre
pour	PRP	pour
faire	VER:infi	faire
peur	NOM	peur
à	PRP	à
la	DET:def	le
mamie	NOM	mamie
elle	PRO:cls	elle
arrive	VER:pres	arriver
la	DET:def	le
mamie	NOM	mamie
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
du	DET:par	du
tout	DET:ind	tout
surprise	NOM	surprise
et	KON	et
le	DET:def	le
mec	NOM	mec
il	PRO:cls	il
fait	VER:pres	faire
il	PRO:cls	il
enlève	VER:pres	enlever
le	DET:def	le
masque	NOM	masque
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
black	NOM	<unknown>
xxx	NOM	<unknown>
vrai	ADJ	vrai
et	KON	et
la	DET:def	le
mamie	NOM	mamie
elle	PRO:cls	elle
fait	VER:pres	faire
oh	INT	oh
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
drôle	ADJ	drôle
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
résume	VER:pres	résumer
bien	ADV	bien
l'	DET:def	le
idée	NOM	idée
tu	PRO:cls	tu
vois	VER:pres	voir
ah	INT	ah
oui	FNO	oui
pas	ADV	pas
mal	ADV	mal
effectivement	ADV	effectivement
han	ADJ	<unknown>
oh	INT	oh
la	DET:def	le
poisse	NOM	poisse
et	KON	et
dans	PRP	dans
une	DET:ind	un
video	NOM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
il	PRO:cls	il
y	PRO:clo	y
é-	TRC	é-
enfin	ADV	enfin
dans	PRP	dans
une	DET:ind	un
vidéo	NOM	vidéo
de	PRP	de
youtubers	NOM	<unknown>
qu'	KON	que
on	PRO:cls	on
avait	AUX:impf	avoir
vue	VER:pper	voir
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
justemment	ADV	<unknown>
euh	INT	euh
i-	TRC	i-
i-	TRC	i-
i-	TRC	i-
ils	PRO:cls	il
commentaient	VER:impf	commenter
ils	PRO:cls	il
disaient	VER:impf	dire
qu'	KON	que
ils	PRO:cls	il
avaient	AUX:impf	avoir
des	DET:ind	un
amis	NOM	ami
qui	PRO:rel	qui
étaient	VER:impf	être
noirs	ADJ	noir
qui	PRO:rel	qui
avaient	AUX:impf	avoir
déjà	ADV	déjà
reçu	VER:pper	recevoir
comme	KON	comme
remarque	INT	remarque
euh	INT	euh
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
quand	KON	quand
tu	PRO:cls	tu
te	PRO:clo	te
laves	VER:pres	laver
ça	PRO:cls	ça
part	VER:pres	partir
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
la	DET:def	le
couleur	NOM	couleur
et	KON	et
tout	PRO:ind	tout
xxx	NOM	<unknown>
mais	KON	mais
euh	INT	euh
pour	PRP	pour
pour	PRP	pour
pour	PRP	pour
euh	INT	euh
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
ce	DET:dem	ce
problème	NOM	problème
hein	INT	hein
hum	FNO	hum
hum	FNO	hum
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
du	DET:par	du
tout	DET:pre	tout
ce	DET:dem	ce
problème	NOM	problème
de	PRP	de
parce	TRC	parce
que	KON	que
bon	INT	bon
je	PRO:cls	je
suis	VER:pres	être
pas	ADV	pas
noir	ADJ	noir
noir	ADJ	noir
ouais	FNO	ouais
et	KON	et
puis	KON	puis
des	DET:ind	un
fois	NOM	fois
ils	PRO:cls	il
en	PRO:clo	en
ils	PRO:cls	il
ont	VER:pres	avoir
le	DET:def	le
même	ADJ	même
teint	NOM	teint
parfois	ADV	parfois
aussi	ADV	aussi
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
qui	PRO:rel	qui
ont	VER:pres	avoir
le	DET:def	le
même	ADV	même
teint	VER:pper	teindre
les	DET:def	le
Coréens	NOM	coréen
les	DET:def	le
Coréens	NOM	coréen
ouais	FNO	ouais
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
peu	NOM	peu
près	ADV	près
ça	PRO:ton	ça
ouais	FNO	ouais
je	PRO:cls	je
j'	PRO:cls	je
ai	AUX:pres	avoir
vu	VER:pper	voir
des	DET:ind	un
Coréennes	NOM	coréenne
qui	PRO:rel	qui
étaient	AUX:impf	être
aussi	ADV	aussi
foncées	VER:pper	foncer
que	KON	que
moi	PRO:ton	moi
et	KON	et
euh	INT	euh
je	PRO:cls	je
t'	PRO:clo	te
avais	AUX:impf	avoir
dit	VER:pper	dire
à	PRP	à
ce	DET:dem	ce
moment	NOM	moment
là	ADV	là
je	PRO:cls	je
t'	PRO:clo	te
ai	AUX:pres	avoir
dit	VER:pper	dire
ah	INT	ah
bon	INT	bon
ben	INT	ben
finalement	ADV	finalement
je	PRO:cls	je
suis	VER:pres	être
si	KON	si
bronzée	ADJ	bronzé
que	KON	que
ça	PRO:ton	ça
parmi	ADV	parmi
les	DET:def	le
Coréennes	NOM	coréenne
ouais	FNO	ouais
ben	INT	ben
tu	PRO:cls	tu
en	PRO:clo	en
as	VER:pres	avoir
une	DET:ind	un
sur	PRP	sur
cent	NUM	@card@
euh	INT	euh
ouais	FNO	ouais
donc	ADV	donc
euh	INT	euh
mais	KON	mais
du	PRP:det	du
coup	NOM	coup
tu	PRO:cls	tu
en	PRO:clo	en
vois	VER:pres	voir
quoi	INT	quoi
oui	FNO	oui
ça	PRO:cls	ça
dépend	VER:pres	dépendre
hein	INT	hein
euh	INT	euh
elles	PRO:cls	elle
sont	VER:pres	être
pas	ADV	pas
toutes	ADV	tout
blanches	ADJ	blanc
ça	PRO:ton	ça
ça	PRO:cls	ça
dépend	VER:pres	dépendre
de	PRP	de
qui	PRO:rel	qui
ça	PRO:cls	ça
dépend	VER:pres	dépendre
des	DET:ind	un
origines	NOM	origine
aussi	ADV	aussi
hein	INT	hein
ouais	FNO	ouais
hum	FNO	hum
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
je	PRO:cls	je
voulais	VER:impf	vouloir
dire	VER:infi	dire
aussi	ADV	aussi
oui	FNO	oui
donc	ADV	donc
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
ce	DET:dem	ce
problème	NOM	problème
mais	KON	mais
euh	INT	euh
j-	TRC	j-
p-	TRC	p-
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
les	DET:def	le
Coréens	NOM	coréen
qui	PRO:rel	qui
font	VER:pres	faire
ce	DET:dem	ce
genre	NOM	genre
de	PRP	de
remarques	NOM	remarque
qui	PRO:rel	qui
bon	INT	bon
hein	INT	hein
qui	PRO:rel	qui
sont	VER:pres	être
quand	KON	quand
même	ADV	même
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
remarques	NOM	remarque
quand	KON	quand
même	ADV	même
assez	ADV	assez
déplacées	VER:pper	déplacer
euh	INT	euh
ils	PRO:cls	il
le	PRO:clo	le
disent	VER:pres	dire
pas	ADV	pas
avec	PRP	avec
méchanceté	NOM	méchanceté
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
raciste	ADJ	raciste
derrière	ADV	derrière
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
voilà	FNO	voilà
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
au-	TRC	au-
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
vraiment	ADV	vraiment
pas	ADV	pas
de	PRP	de
racisme	NOM	racisme
moi	PRO:ton	moi
ce	PRO:dem	ce
que	PRO:rel	que
j'	PRO:cls	je
avais	AUX:impf	avoir
entendu	VER:pper	entendre
une	DET:ind	un
autre	ADJ	autre
histoire	NOM	histoire
ils	PRO:cls	il
regardaient	VER:impf	regarder
euh	INT	euh
ils	PRO:cls	il
regardaient	VER:impf	regarder
le	DET:def	le
foot	NOM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
d-	TRC	d-
un	DET:ind	un
des	DET:ind	un
joueurs	NOM	joueur
euh	INT	euh
noirs	ADJ	noir
euh	INT	euh
qui	PRO:rel	qui
jouaient	VER:impf	jouer
dans	PRP	dans
une	DET:ind	un
équipe	NOM	équipe
et	KON	et
tout	PRO:ind	tout
et	KON	et
euh	INT	euh
tu	PRO:cls	tu
avais	VER:impf	avoir
pareil	ADV	pareil
une	DET:ind	un
mamie	NOM	mamie
c'	PRO:cls	ce
est	VER:pres	être
souvent	ADV	souvent
les	DET:def	le
vieux	ADJ	vieux
hein	INT	hein
qui	PRO:rel	qui
font	VER:pres	faire
ce	DET:dem	ce
genre	NOM	genre
de	PRP	de
commentaire	NOM	commentaire
euh	INT	euh
une	DET:ind	un
mamie	NOM	mamie
qui	PRO:rel	qui
sort	VER:pres	sortir
qui	PRO:rel	qui
va	VER:pres	aller
sortir	VER:infi	sortir
en	PRP	en
coréen	NOM	coréen
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
qu'	KON	que
il	PRO:cls	il
ressemble	VER:pres	ressembler
vraiment	ADV	vraiment
