bon	INT	bon
intérieur	NOM	intérieur
de	PRP	de
l'	PRO:clo	le
être	VER:infi	être
humain	ADJ	humain
et	KON	et
puis	KON	puis
même	ADV	même
sans	PRP	sans
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
de	PRP	de
tous	DET:pre	tout
les	DET:def	le
êtres	NOM	être
humains	ADJ	humain
en	PRP	en
plus	ADV	plus
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
vraiment	ADV	vraiment
euh	INT	euh
enfin	ADV	enfin
on	PRO:cls	on
apprends	VER:pres	apprendre
le	DET:def	le
que	KON	que
enfin	ADV	enfin
on	PRO:cls	on
apprends	VER:pres	apprendre
les	DET:def	le
hum	FNO	hum
comment	PRO:int	comment
oh	INT	oh
le	DET:def	le
c-	TRC	c-
comment	PRO:int	comment
dire	VER:infi	dire
oh	INT	oh
comment	PRO:int	comment
ça	PRO:cls	ça
s'	PRO:clo	se
appelle	VER:pres	appeler
euh	INT	euh
on	PRO:cls	on
a	VER:pres	avoir
chacun	PRO:ind	chacun
on	PRO:cls	on
a	VER:pres	avoir
chacun	PRO:ind	chacun
une	DET:ind	un
manière	NOM	manière
d'	PRP	un
exister	VER:infi	exister
en	PRO:clo	en
fait	VER:pres	faire
même	ADV	même
euh	INT	euh
même	ADV	même
si	KON	si
on	PRO:cls	on
est	VER:pres	être
pas	ADV	pas
euh	INT	euh
malade	ADJ	malade
mental	ADJ	mental
ou	KON	ou
enfin	ADV	enfin
tout	DET:pre	tout
ça	PRO:ton	ça
on	PRO:cls	on
a	VER:pres	avoir
tous	PRO:ind	tout
une	DET:ind	un
manière	NOM	manière
d'	PRP	un
exister	VER:infi	exister
on	PRO:cls	on
rentre	VER:pres	rentrer
tous	PRO:ind	tout
dans	PRP	dans
une	DET:ind	un
catégorie	NOM	catégorie
en	PRO:clo	en
fait	VER:pres	faire
hum	FNO	hum
du	PRP:det	du
coup	NOM	coup
on	PRO:cls	on
apprend	VER:pres	apprendre
euh	INT	euh
ces	DET:dem	ce
différentes	ADJ	différent
catégories	NOM	catégorie
et	KON	et
euh	INT	euh
et	KON	et
du	PRP:det	du
coup	NOM	coup
bah	INT	bah
euh	INT	euh
déjà	ADV	déjà
en	PRP	en
plus	ADV	plus
ça	PRO:cls	ça
permet	VER:pres	permettre
de	PRP	de
se	PRO:clo	se
connaitre	VER:pres	<unknown>
nous	PRO:ton	nous
même	ADV	même
et	KON	et
euh	INT	euh
ouais	FNO	ouais
surtout	ADV	surtout
ça	PRO:ton	ça
de	PRP	de
et	KON	et
puis	KON	puis
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
bah	INT	bah
surtout	ADV	surtout
en	PRP	en
deuxième	ADJ	deuxième
année	NOM	année
on	PRO:cls	on
apprend	VER:pres	apprendre
des	DET:ind	un
choses	NOM	chose
que	KON	que
que	KON	que
tu	PRO:cls	tu
découvres	VER:pres	découvrir
vraiment	ADV	vraiment
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
là	ADV	là
où	PRO:int	où
on	PRO:cls	on
rentre	VER:pres	rentrer
plus	ADV	plus
dans	PRP	dans
le	DET:def	le
vif	ADJ	vif
du	PRP:det	du
sujet	NOM	sujet
tu	PRO:cls	tu
te	PRO:clo	te
retrouve	VER:pres	retrouver
bien	ADV	bien
ouais	FNO	ouais
parce	TRC	parce
qu'	KON	que
en	PRP	en
première	ADJ	premier
année	NOM	année
bon	INT	bon
bah	INT	bah
bon	INT	bon
il	PRO:cls	il
faut	VER:pres	falloir
faut	VER:pres	falloir
se	PRO:clo	se
te-	TRC	<unknown>
il	PRO:cls	il
faut	VER:pres	falloir
s'	PRO:clo	se
accrocher	VER:infi	accrocher
hum	FNO	hum
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
un	DET:ind	un
peu	NOM	peu
moins	ADV	moins
intéressant	ADJ	intéressant
mais	KON	mais
euh	INT	euh
quand	KON	quand
même	ADV	même
on	PRO:cls	on
a	AUX:pres	avoir
eu	VER:pper	avoir
euh	INT	euh
un	DET:ind	un
des	DET:ind	un
bons	ADJ	bon
cours	NOM	cours
de	PRP	de
psychologie	NOM	psychologie
clinique	ADJ	clinique
et	KON	et
pathologique	ADJ	pathologique
d'	PRP	un
accord	NOM	accord
et	KON	et
vous	PRO:cls	vous
aviez	VER:impf	avoir
quoi	INT	quoi
comme	KON	comme
matières	NOM	matière
alors	ADV	alors
en	PRP	en
première	ADJ	premier
parce	TRC	parce
que	KON	que
là	ADV	là
vous	PRO:cls	vous
êtes	VER:pres	être
en	PRP	en
deuxième	ADJ	deuxième
année	NOM	année
et	KON	et
en	PRP	en
première	ADJ	premier
année	NOM	année
vous	PRO:cls	vous
aviez	VER:impf	avoir
quoi	INT	quoi
comme	KON	comme
matières	NOM	matière
alors	ADV	alors
bah	INT	bah
en	PRP	en
fait	NOM	fait
on	PRO:cls	on
avait	VER:impf	avoir
aussi	ADV	aussi
des	DET:ind	un
matières	NOM	matière
qu'	KON	que
on	PRO:cls	on
a	VER:pres	avoir
là	ADV	là
on	PRO:cls	on
avait	VER:impf	avoir
psychologie	NOM	psychologie
comme	KON	comme
j-	TRC	j-
comme	KON	comme
celle	PRO:dem	celui
qu'	PRO:rel	que
on	PRO:cls	on
aime	VER:pres	aimer
bien	ADV	bien
clinique	ADJ	clinique
et	KON	et
pathologique	ADJ	pathologique
avec	PRP	avec
un	DET:ind	un
prof	NOM:trc	professeur
euh	INT	euh
qui	PRO:rel	qui
est	AUX:pres	être
assez	ADV	assez
connu	VER:pper	connaître
monsieur	NOM	monsieur
¤N¤	NAM	¤N¤
hum	FNO	hum
et	KON	et
vraiment	ADV	vraiment
ses	DET:pos	son
cours	NOM	cours
et	KON	et
bah	INT	bah
il	PRO:cls	il
parle	VER:pres	parler
plus	ADV	plus
sur	PRP	sur
la	DET:def	le
psychologie	NOM	psychologie
de	PRP	de
l'	DET:def	le
enfant	NOM	enfant
donc	ADV	donc
oui	FNO	oui
du	PRP:det	du
coup	NOM	coup
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
tu	PRO:cls	tu
découvres	VER:pres	découvrir
pleins	ADJ	plein
de	PRP	de
trucs	NOM	truc
euh	INT	euh
sur	PRP	sur
euh	INT	euh
bah	INT	bah
comment	PRO:int	comment
tu	PRO:cls	tu
te	PRO:clo	te
formes	VER:pres	former
euh	INT	euh
suivant	PRP	suivant
ton	DET:pos	ton
ton	DET:pos	ton
enfance	NOM	enfance
euh	INT	euh
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
enfance	NOM	enfance
qui	PRO:rel	qui
va	VER:pres	aller
dérouler	VER:infi	dérouler
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
vas	VER:pres	aller
être	VER:infi	être
plus	ADV	plus
tard	ADV	tard
c'	PRO:cls	ce
est	VER:pres	être
là	ADV	là
où	PRO:int	où
cette	DET:dem	ce
période	NOM	période
hum	FNO	hum
elle	PRO:cls	elle
est	VER:pres	être
elle	PRO:cls	elle
est	VER:pres	être
fondamentale	ADJ	fondamental
quoi	INT	quoi
et	KON	et
euh	INT	euh
vraiment	ADV	vraiment
monsieur	NOM	monsieur
¤N¤	NAM	¤N¤
enfin	ADV	enfin
pour	PRP	pour
ma	DET:pos	mon
part	NOM	part
il	PRO:clsi	il
m'	PRO:clo	me
a	VER:pres	avoir
vraiment	ADV	vraiment
euh	INT	euh
il	PRO:clsi	il
m'	PRO:clo	me
a	VER:pres	avoir
vraiment	ADV	vraiment
euh	INT	euh
voilà	FNO	voilà
il	PRO:cls	il
c'	PRO:cls	ce
est	VER:pres	être
celui	PRO:dem	celui
qui	PRO:rel	qui
m'	PRO:clo	me
a	VER:pres	avoir
qui	PRO:rel	qui
qui	PRO:rel	qui
t'	PRO:clo	te
as	AUX:pres	avoir
donné	VER:pper	donner
envie	NOM	envie
de	PRP	de
continuer	VER:infi	continuer
qui	PRO:rel	qui
m'	PRO:clo	me
a	AUX:pres	avoir
donné	VER:pper	donner
envie	NOM	envie
de	PRP	de
continuer	VER:infi	continuer
et	KON	et
qui	PRO:rel	qui
m'	PRO:clo	me
a	VER:pres	avoir
et	KON	et
qui	PRO:rel	qui
m'	PRO:clo	me
a	AUX:pres	avoir
montré	VER:pper	montrer
vraiment	ADV	vraiment
euh	INT	euh
en	PRP	en
quoi	PRO:int	quoi
consistait	VER:impf	consister
la	DET:def	le
psychologie	NOM	psychologie
clinique	ADJ	clinique
et	KON	et
pathologique	ADJ	pathologique
et	KON	et
ça	PRO:cls	ça
m'	PRO:clo	me
a	AUX:pres	avoir
vraiment	ADV	vraiment
intéressé	VER:pper	intéresser
et	KON	et
vraiment	ADV	vraiment
en	PRP	en
arrivant	VER:ppre	arriver
en	PRP	en
deuxième	ADJ	deuxième
année	NOM	année
je	PRO:cls	je
me	PRO:clo	me
rend	VER:pres	rendre
compte	NOM	compte
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
top	ADJ	top
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
qui	PRO:rel	qui
me	PRO:clo	me
plaît	VER:pres	plaire
le	DET:def	le
plus	ADV	plus
mais	KON	mais
après	ADV	après
on	PRO:cls	on
a	AUX:pres	avoir
bes-	VER:pper	<unknown>
enfin	ADV	enfin
les	DET:def	le
autres	ADJ	autre
hum	FNO	hum
les	DET:def	le
autres	ADJ	autre
matières	NOM	matière
m'	PRO:clo	me
intéressent	VER:pres	intéresser
on	PRO:cls	on
a	VER:pres	avoir
psychologie	NOM	psychologie
sociale	ADJ	social
la	DET:def	le
psychologie	NOM	psychologie
du	PRP:det	du
travail	NOM	travail
on	PRO:cls	on
a	VER:pres	avoir
euh	INT	euh
on	PRO:cls	on
a	VER:pres	avoir
euh	INT	euh
on	PRO:cls	on
a	VER:pres	avoir
tellement	ADV	tellement
de	PRP	de
trucs	NOM	truc
après	ADV	après
euh	INT	euh
euh	INT	euh
.	NAM	<unknown>
moi	PRO:ton	moi
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
on	PRO:cls	on
a	VER:pres	avoir
moi	PRO:ton	moi
qui	PRO:rel	qui
aime	VER:pres	aimer
pas	ADV	pas
du	DET:par	du
tout	ADV	tout
par	PRP	par
contre	PRP	contre
les	DET:def	le
sciences	NOM	science
euh	INT	euh
oui	FNO	oui
du	PRP:det	du
coup	NOM	coup
psychologie	NOM	psychologie
physiologique	ADJ	physiologique
.	NAM	<unknown>
la	DET:def	le
physiologie	NOM	physiologie
bah	INT	bah
en	PRP	en
même	ADJ	même
temps	NOM	temps
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
super	ADV	super
important	ADJ	important
parce	TRC	parce
que	KON	que
en	PRP	en
psycho	NOM	<unknown>
physio	NOM	<unknown>
on	PRO:cls	on
apprend	VER:pres	apprendre
euh	INT	euh
vraiment	ADV	vraiment
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
la	DET:def	le
bio	NOM	<unknown>
euh	INT	euh
au	PRP:det	au
taquet	NOM	taquet
là	ADV	là
on	PRO:cls	on
apprend	VER:pres	apprendre
tout	DET:pre	tout
le	DET:def	le
fonctionnement	NOM	fonctionnement
de	PRP	de
l'	DET:def	le
oeil	NOM	oeil
c'	PRO:cls	ce
est	VER:pres	être
assez	ADV	assez
chiant	ADJ	chiant
à	PRP	à
apprendre	VER:infi	apprendre
j'	PRO:cls	je
avoue	VER:pres	avouer
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
hyper	ADV	hyper
important	ADJ	important
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
intéressant	ADJ	intéressant
aussi	ADV	aussi
oui	FNO	oui
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
la	DET:def	le
psychologie	NOM	psychologie
euh	INT	euh
elle	PRO:cls	elle
s'	PRO:clo	se
explique	VER:pres	expliquer
euh	INT	euh
grâce	ADV	grâce
à	PRP	à
la	DET:def	le
biologie	NOM	biologie
c'	PRO:cls	ce
est	VER:pres	être
elle	PRO:cls	elle
est	VER:pres	être
pluridisciplinaire	ADJ	<unknown>
la	DET:def	le
psychologie	NOM	psychologie
elle	PRO:cls	elle
existerait	VER:cond	exister
pas	ADV	pas
sans	PRP	sans
la	DET:def	le
biologie	NOM	biologie
elle	PRO:cls	elle
existerait	VER:cond	exister
pas	ADV	pas
sans	PRP	sans
la	DET:def	le
philosophie	NOM	philosophie
c'	PRO:cls	ce
est	VER:pres	être
important	ADJ	important
toutes	DET:pre	tout
ces	DET:dem	ce
matières	NOM	matière
euh	INT	euh
de	PRP	de
s'	PRO:clo	se
y	PRO:clo	y
intéresser	VER:infi	intéresser
et	KON	et
la	DET:def	le
biologie	NOM	biologie
euh	INT	euh
on	PRO:cls	on
en	PRO:clo	en
a	VER:pres	avoir
besoin	NOM	besoin
pour	PRP	pour
euh	INT	euh
par	PRP	par
exemple	NOM	exemple
comprendre	VER:infi	comprendre
des	DET:ind	un
maladies	NOM	maladie
euh	INT	euh
des	DET:ind	un
maladies	NOM	maladie
des	PRP:det	du
troubles	NOM	trouble
visuels	ADJ	visuel
euh	INT	euh
la	DET:def	le
schizophrénie	NOM	schizophrénie
enfin	ADV	enfin
bref	INT	bref
tout	DET:pre	tout
ça	PRO:ton	ça
on	PRO:cls	on
les	DET:def	le
psychologues	NOM	psychologue
ils	PRO:cls	il
t'	PRO:clo	te
inventent	VER:pres	inventer
pas	ADV	pas
des	DET:ind	un
trucs	NOM	truc
pouf	NOM	pouf
comme	KON	comme
ça	PRO:ton	ça
euh	INT	euh
voilà	FNO	voilà
i-	TRC	i-
ils	PRO:cls	il
s'	PRO:clo	se
accrochent	VER:pres	accrocher
à	PRP	à
la	DET:def	le
biologie	NOM	biologie
ils	PRO:cls	il
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
on	PRO:cls	on
a	VER:pres	avoir
une	DET:ind	un
idée	NOM	idée
euh	INT	euh
on	PRO:cls	on
a	VER:pres	avoir
une	DET:ind	un
idée	NOM	idée
préconçue	VER:pper	préconcevoir
des	DET:ind	un
gens	NOM	gens
enfin	ADV	enfin
des	DET:ind	un
gens	NOM	gens
dans	PRP	dans
l'	DET:def	le
idée	NOM	idée
des	PRP:det	du
psychologues	NOM	psychologue
euh	INT	euh
assez	ADV	assez
euh	INT	euh
l'	DET:def	le
idée	NOM	idée
que	KON	que
ça	PRO:cls	ça
sort	VER:pres	sortir
comme	KON	comme
ça	PRO:ton	ça
ouais	FNO	ouais
et	KON	et
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
dit	VER:pper	dire
tiens	INT	tiens
ben	INT	ben
allez	INT	allez
hop	INT	hop
on	PRO:cls	on
va	VER:pres	aller
dire	VER:infi	dire
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
différents	ADJ	différent
stades	NOM	stade
de	PRP	de
développement	NOM	développement
et	KON	et
puis	KON	puis
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
alors	ADV	alors
que	KON	que
on	PRO:cls	on
s'	PRO:clo	se
aperçoit	VER:pres	apercevoir
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
certaines	DET:ind	certains
maladies	NOM	maladie
où	PRO:rel	où
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
vraiment	ADV	vraiment
des	DET:ind	un
effets	NOM	effet
sur	PRP	sur
le	DET:def	le
cerveau	NOM	cerveau
et	KON	et
euh	INT	euh
oui	FNO	oui
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
des	DET:ind	un
conneries	NOM	connerie
un	DET:ind	un
psychologue	NOM	psychologue
il	PRO:clsi	il
il	PRO:clsi	il
est	VER:pres	être
pas	ADV	pas
que	KON	que
là	ADV	là
aussi	ADV	aussi
pour	PRP	pour
que	KON	que
t'	PRO:clo	te
écouter	VER:infi	écouter
euh	INT	euh
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
euh	INT	euh
d'	PRP	un
ailleurs	ADV	ailleurs
du	PRP:det	du
coup	NOM	coup
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
d'	PRP	un
être	VER:infi	être
en	PRP	en
étude	NOM	étude
de	PRP	de
psycho	NOM	<unknown>
ça	PRO:ton	ça
ça	PRO:cls	ça
met	VER:pres	mettre
quelquefois	ADV	quelquefois
en	PRP	en
conflit	NOM	conflit
avec	PRP	avec
des	DET:ind	un
gens	NOM	gens
qui	PRO:rel	qui
ont	VER:pres	avoir
vraiment	ADV	vraiment
les	DET:def	le
id-	NOM	<unknown>
enfin	ADV	enfin
les	DET:def	le
gens	NOM	gens
un	DET:ind	un
peu	NOM	peu
terre-à-terre	NOM	<unknown>
qui	PRO:rel	qui
euh	INT	euh
ma	DET:pos	mon
famille	NOM	famille
quoi	INT	quoi
qui	PRO:rel	qui
ont	VER:pres	avoir
euh	INT	euh
les	DET:def	le
idées	NOM	idée
assez	ADV	assez
préconçues	VER:pper	préconcevoir
en	PRP	en
se	PRO:clo	se
disant	VER:ppre	dire
bah	INT	bah
oui	FNO	oui
ben	INT	ben
moi	PRO:ton	moi
aussi	ADV	aussi
je	PRO:cls	je
peux	VER:pres	pouvoir
être	VER:infi	être
psychologue	ADJ	psychologue
hein	INT	hein
j'	PRO:cls	je
écoute	VER:pres	écouter
mes	DET:pos	mon
copines	NOM	copine
et	KON	et
puis	KON	puis
euh	INT	euh
ouais	FNO	ouais
et	KON	et
puis	KON	puis
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
alors	ADV	alors
que	KON	que
euh	INT	euh
que	KON	que
non	FNO	non
puisque	KON	puisque
ben	INT	ben
et	KON	et
tu	PRO:cls	tu
as	VER:pres	avoir
tu	PRO:cls	tu
dois	VER:pres	devoir
quand	KON	quand
même	ADV	même
suivre	VER:infi	suivre
une	DET:ind	un
formation	NOM	formation
euh	INT	euh
sur	PRP	sur
cinq	NUM	@card@
ans	NOM	an
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
assez	ADV	assez
ardu	ADJ	ardu
hein	INT	hein
euh	INT	euh
enfin	ADV	enfin
là	ADV	là
je	PRO:cls	je
trouve	VER:pres	trouver
que	KON	que
la	DET:def	le
deuxième	ADJ	deuxième
année	NOM	année
on	PRO:cls	on
voit	VER:pres	voir
vraiment	ADV	vraiment
la	DET:def	le
différence	NOM	différence
par	PRP	par
rapport	NOM	rapport
ouais	FNO	ouais
à	PRP	à
la	DET:def	le
première	ADJ	premier
année	NOM	année
et	KON	et
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
plein	ADV	plein
de	PRP	de
concepts	NOM	concept
enfin	ADV	enfin
ça	PRO:ton	ça
ça	PRO:cls	ça
dé-	TRC	dé-
ça	PRO:cls	ça
sort	VER:pres	sortir
pas	ADV	pas
comme	KON	comme
ça	PRO:ton	ça
quoi	INT	quoi
et	KON	et
euh	INT	euh
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
et	KON	et
puis	KON	puis
ça	PRO:cls	ça
nous	PRO:clo	nous
permet	VER:pres	permettre
de	PRP	de
d'	PRP	un
avoir	VER:infi	avoir
un	DET:ind	un
de	PRP	de
savoir	VER:infi	savoir
comment	PRO:int	comment
penser	VER:infi	penser
d'	PRP	un
avoir	VER:infi	avoir
une	DET:ind	un
idée	NOM	idée
euh	INT	euh
de	PRP	de
plein	ADV	plein
de	PRP	de
choses	NOM	chose
et	KON	et
après	ADV	après
euh	INT	euh
il	PRO:cls	il
faut	VER:pres	falloir
pas	ADV	pas
aussi	ADV	aussi
être	VER:infi	être
un	DET:ind	un
mouton	NOM	mouton
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
parce	TRC	parce
que	KON	que
on	PRO:cls	on
te	PRO:clo	te
dit	VER:pres	dire
une	DET:ind	un
telle	DET:dem	tel
théorie	NOM	théorie
que	KON	que
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
forcément	ADV	forcément
ça	PRO:ton	ça
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
tellement	ADV	tellement
de	PRP	de
de	PRP	de
théories	NOM	théorie
qui	PRO:rel	qui
se	PRO:clo	se
sont	AUX:pres	être
formées	VER:pper	former
et	KON	et
il	PRO:cls	il
faut	VER:pres	falloir
faut	VER:pres	falloir
enfin	ADV	enfin
comme	KON	comme
on	PRO:cls	on
on	PRO:cls	on
a	AUX:pres	avoir
vu	VER:pper	voir
euh	INT	euh
en	PRP	en
fait	NOM	fait
vous	PRO:cls	vous
prenez	VER:pres	prendre
part	NOM	part
des	PRP:det	du
théo-	NOM	<unknown>
vous	PRO:cls	vous
allez	VER:pres	aller
prendre	VER:infi	prendre
part	VER:pres	partir
des	DET:ind	un
hum	FNO	hum
le	DET:def	le
truc	NOM	truc
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
des	DET:ind	un
théories	NOM	théorie
à	PRP	à
la	DET:def	le
fin	NOM	fin
ben	INT	ben
en	PRP	en
fait	NOM	fait
au	PRP:det	au
f-	TRC	f-
là	ADV	là
on	PRO:cls	on
pendant	PRP	pendant
tout	PRO:ind	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
notre	DET:pos	notre
euh	INT	euh
cursus	NOM	cursus
on	PRO:cls	on
va	VER:pres	aller
découvrir	VER:infi	découvrir
plein	ADV	plein
de	PRP	de
théories	NOM	théorie
et	KON	et
après	ADV	après
du	PRP:det	du
coup	NOM	coup
à	PRP	à
la	DET:def	le
fin	NOM	fin
bah	INT	bah
déjà	ADV	déjà
selon	ADV	selon
euh	INT	euh
vers	PRP	vers
quoi	INT	quoi
tu	PRO:cls	tu
t'	PRO:clo	te
orientes	VER:pres	orienter
comme	KON	comme
type	NOM	type
de	PRP	de
psychologie	NOM	psychologie
et	KON	et
en	PRP	en
plus	ADV	plus
de	PRP	de
ça	PRO:ton	ça
tu	PRO:cls	tu
tu	PRO:cls	tu
tu	PRO:cls	tu
suis	VER:pres	être
la	DET:def	le
théorie	NOM	théorie
de	PRP	de
quelqu'un	PRO:ind	quelqu'un
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
que	KON	que
tu	PRO:cls	tu
entends	VER:pres	entendre
euh	INT	euh
bah	INT	bah
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
Freudien	ADJ	freudien
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
Lacanien	ADJ	<unknown>
Lacanien	NOM	<unknown>
voilà	FNO	voilà
euh	INT	euh
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
mais	KON	mais
mais	KON	mais
euh	INT	euh
mais	KON	mais
après	ADV	après
faut	VER:pres	falloir
moi	PRO:ton	moi
je	PRO:cls	je
suis	VER:pres	être
pour	PRP	pour
qui	PRO:rel	qui
faut	VER:pres	falloir
prendre	VER:infi	prendre
un	DET:ind	un
peu	NOM	peu
de	PRP	de
tout	PRO:ind	tout
enfin	ADV	enfin
oui	FNO	oui
il	PRO:cls	il
faut	VER:pres	falloir
dire	VER:infi	dire
il	PRO:clsi	il
Freud	VER:cond	<unknown>
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
aussi	ADV	aussi
ça	PRO:ton	ça
après	ADV	après
après	ADV	après
avec	PRP	avec
tout	DET:pre	tout
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
auras	VER:futu	avoir
vu	VER:pper	voir
le	DET:def	le
problème	NOM	problème
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
déj-	TRC	<unknown>
il	PRO:clsi	il
faut	VER:pres	falloir
f-	TRC	f-
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
la	DET:def	le
psychologie	NOM	psychologie
moi	PRO:ton	moi
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
déjà	ADV	déjà
que	KON	que
nous-mêmes	PRO:ton	nous-mêmes
on	PRO:cls	on
s'	PRO:clo	se
intéresse	VER:pres	intéresser
à	PRP	à
plein	ADV	plein
de	PRP	de
choses	NOM	chose
qu'	KON	que
on	PRO:cls	on
lise	VER:subp	lire
pas	ADV	pas
mal	ADV	mal
de	PRP	de
livres	NOM	livre
qu'	KON	que
on	PRO:cls	on
s'	PRO:clo	se
intéresse	VER:pres	intéresser
à	PRP	à
un	DET:ind	un
peu	NOM	peu
de	PRP	de
tout	DET:pre	tout
les	DET:def	le
théo-	NOM	<unknown>
les	DET:def	le
tous	DET:pre	tout
tous	DET:pre	tout
les	DET:def	le
auteurs	NOM	auteur
les	DET:def	le
les	DET:def	le
grands	ADJ	grand
psychanalistes	NOM	<unknown>
euh	INT	euh
et	KON	et
il	PRO:cls	il
faut	VER:pres	falloir
pas	ADV	pas
se	PRO:clo	se
limiter	VER:infi	limiter
qu'	KON	que
à	PRP	à
un	DET:ind	un
truc	NOM	truc
faut	VER:pres	falloir
pas	ADV	pas
se	PRO:clo	se
limiter	VER:infi	limiter
qu'	KON	que
à	PRP	à
la	DET:def	le
clinique	NOM	clinique
et	KON	et
la	DET:def	le
on	PRO:cls	on
a	VER:pres	avoir
besoin	NOM	besoin
de	PRP	de
la	DET:def	le
sociale	ADJ	social
pour	PRP	pour
expliquer	VER:infi	expliquer
des	DET:ind	un
choses	NOM	chose
comme	KON	comme
on	PRO:cls	on
a	VER:pres	avoir
besoin	NOM	besoin
euh	INT	euh
on	PRO:cls	on
a	VER:pres	avoir
besoin	NOM	besoin
du	PRP:det	du
de	PRP	de
la	DET:def	le
psychologie	NOM	psychologie
euh	INT	euh
différentielle	ADJ	différentiel
euh	INT	euh
on	PRO:cls	on
enfin	ADV	enfin
vraiment	ADV	vraiment
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
tout	ADV	tout
quoi	INT	quoi
et	KON	et
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
beaucoup	ADV	beaucoup
de	PRP	de
travail	NOM	travail
et	KON	et
euh	INT	euh
et	KON	et
du	PRP:det	du
coup	NOM	coup
il	PRO:cls	il
faut	VER:pres	falloir
il	PRO:cls	il
faut	VER:pres	falloir
toucher	VER:infi	toucher
à	PRP	à
tout	PRO:ind	tout
pour	PRP	pour
