adv:int	pourquoi
PCT	.
conj	mais
pro:subj	tu
v	penser
conj	que
co	euh
det&PL	les
n	payeur^n|pays
?	pseudo–démocratiques
adv	toute
n	façon
conj	quand
v:exist	il+y+a
det&MASC&SING	un
n	seul
n	président
co	euh
PCT	.
pro&MASC	un
v-PP	partir
adj	fort
adv	parfois
adv:neg	pas
adj	unique
adv	mais
adj	fort
pro:dem&SING	ce/ces
?	est–à–dire
conj	que
det&PL	les
adj-MASC	autre^adj|autre
n	parti
v:exist	être
adv	quasiment
adj	inexistant
PCT	.
v:aux	être
v-PP	contraindre
prep	à
det&SING	le/la
n	anonymat
conj	voire
prep	à
pro:refl	se
v-INF	cacher
v:exist	il+y+a
adv	forcément
n	fraude
adj-FEM	électoral
PCT	.
?	***
PCT	.
pro:subj	tu
v	penser
PCT	.
pro:subj	je
v:mdl	savoir
adv:neg	pas
PCT	.
conj	si
v:exist	c'est
adj	probable
conj	mais
v:exist	c'est
adv:neg	pas
v:exist	c'est
adv:neg	pas
adj	avéré
co	hein
v:exist	c'est
adv:neg	pas
adj	sûr
conj	et
?	¤Pren9¤
pro:subj	tu
v:poss&IMPF	avoir
det&FEM&SING	une
adj	autre
n	idée
PCT	.
co	hum
prep	avec
n:prop	Bush
prep:art	aux
n:prop	Etats–Unis
pro:subj&MASC	il
v:aux	avoir
v:exist&PP	être
v-PP	suspecter
prep:art	de
n	fraude
adj-FEM	électoral
PCT	.
adv:yn	oui
co	euh
v:exist&IMPF	c'est
det&FEM&SING	une
?	demi–fraude
adj-FEM	électoral
v:exist&IMPF	c'est
det&MASC&SING	le
n	système
prep:art	de
n	élection
pro:rel	qui
v:exist&IMPF	être
adv	très
n	complexe
PCT	.
conj	et
pro:y	en
n	fin
prep	de
n	compte
v:exist	c'est
det&FEM&SING	la
n	cour
n	suprême
pro:rel	qui
v:aux	avoir
v-PP	trancher
pro:subj&MASC	il
pro:y	y
v:poss&IMPF	avoir
pro:subj&MASC	il
v:aux	avoir
v:exist&PP	être
v:exist	il+y+a^v:exist|y+a
v:poss&PP	avoir
n	suspicion
prep:art	de
n	fraude
PCT	.
adj-FEM	électoral
conj	mais
pro:dem	ça
v:aux	avoir
adv:neg	pas
n	été
v-PP	prouver
conj	parce+que
conj	si
pro:subj&MASC	il
adv	y
v:aux&IMPF	avoir
v:aux&PP	avoir
n	fraude
v-PP	avérer
co	bah
conj	si
v:exist&IMPF	c'est
n:prop	Georges
n:prop	Bush
PCT	.
pro:int	qui
v:aux&IMPF	avoir
v:aux&PP	être
pro:obj&MASC&SING	le
n-MASC	fraudeur
adv	décemment
det&PL	les
n:prop	États–Unis
adv:neg	ne
v:poss&FUT	avoir
adv:neg	pas
adv:neg	pu
pro:obj&SING	le/la
v-INF	élire
n	président
prep	de
det&FEM&SING	la
n:prop	République
PCT	.
adv	enfin
prep	de
det&FEM&SING	la
n:prop	République
prep:art	des
n:prop	U
PCT	.
n:prop	S
PCT	.
n:prop	A
PCT	.
pro:int	quoi
n	américain
co	bon
pro:subj	vous
v:aux	avoir
v-PP	noter
det:gen&MASC	tout
pro:dem	ça
prep	dans
det&MASC&SING	le
n	tableau
PCT	.
conj	donc
adv	effectivement
pro:subj	on
pro:refl	se
v	rendre
n	compte
conj	que
det&FEM&SING	la
n	démocratie
adv:neg	ne
v:exist	être
adv:neg	pas
v-PP	installer
adv	partout
v:exist	c'est
adv:place	loin
prep	de
v:exist&INF	être
PCT	.
det&MASC&SING	le
n	cas
conj	mais
prep	en
n:prop	Chine
adj-MASC	tien
prep:art	à
n	propos
prep:art	en
n:prop	Chine
conj	puisque
pro:subj	on
adv	à
v-PP	évoquer
det&FEM&SING	la
n:prop	Chine
prep	de
n:prop	Mao
PCT	.
v:exist	c'est
det&FEM&SING	une
n	démocratie
adj	populaire
PCT	.
v:aux	c'est
v-PP	marquer
prep	sur
det&SING	le/la
n	étiquette
adv	effectivement
?	est–ce
conj	que
v:exist	c'est
adv	vraiment
det&FEM&SING	une
n	démocratie
adj	populaire
PCT	.
adv:yn	non
v:exist	c'est
det&FEM&SING	une
n	dictature
PCT	.
n	dictature
v:exist	il+y+a
adv	combien
prep:art	de
v-PP	partir
PCT	.
det&MASC&SING	un
n	seul
PCT	.
det&MASC&SING	un
n	seul
PCT	.
det&MASC&SING	le
adj	parti
n	communiste
adj-MASC	chinois
prep:art	de
pro	autres
adj	parti
v	essayer
prep	de
v-INF	exister
conj	mais
v:exist	c'est
adv	très
adv	très
v-PP	compliquer
PCT	.
conj	et
det&PL	les
adj	opposant
n	politique
v:exist	être
adv	souvent
co	euh
prep	de
det&FEM&SING	une
n	manière
adv	assez
n	arbitraire
co	euh
n	mi
prep:art	en
n	prison
conj	donc
det&FEM&SING	la
det&FEM&SING	la
PCT	.
n:prop	Chine
adv:neg	ne
v:exist	être
adv:neg	pas
adv	encore
det&FEM&SING	une
n	démocratie
conj	et
pro:subj	on
v:aux&IMPF	avoir
v-PP	évoquer
det&MASC&SING	le
n	cas
prep	de
det&SING	le/la
n:prop	Inde
pro:obj&SING	le/la
n:prop	Inde
v:exist	c'est
adv	bien
det&FEM&SING	une
n	démocratie
PCT	.
conj	et
n	bien
prep	pour
v-INF	rebondir
prep	sur
det&MASC&SING	le
adj-MASC	sujet
adv	pour
co	euh
adv:neg	pas
det&FEM&SING	la
n	semaine
adj	prochain
prep:art	à
n	cause
det&MASC&SING	du
n	contrôle
conj	mais
adv:place	après
det&PL	les
n	vacance
PCT	.
pro:dem	ça
pro:subj	vous
v	laisser
det&MASC&SING	du
n	temps
pro:subj	je
v:mdl	aller
v-INF	demander
prep	à
det&MASC&SING	un
n	binôme
prep	de
pro&PL	nous
v:mdllex-INF	faire
det&MASC&SING	un
n	topo
prep	sur
co	euh
det&MASC&SING	le
n	mode
adj-MASC	électoral
prep	en
n:prop	Inde
PCT	.
det&FEM&SING	la
n	démocratie
adj-FEM	indien
pro:rel	qui
v	revendiquer
det&FEM&SING	la
adv	plus
adj	grand
prep	comme
v:exist	être
det&FEM&SING	la
adv	plus
adj	grand
n	démocratie
det&MASC&SING	du
n	monde
PCT	.
det:gen&MASC	tout
pro:dem	ça
conj	parce+que
pro:subj&MASC	ils
v:poss	avoir
det&MASC&SING	le
adv:neg	plus
prep:art	de
n	habitant
prep	en
prep	dans
det&MASC&SING	un
n	payeur^n|pays
v-PASS	dire^v|dire
adj	démocratique
n	savoir
adv:int	comment
pro:dem	ça
v	fonctionner
PCT	.
adv	mal+gré
det&PL	les
n	histoire
pro:rel	qui
v	subsister
adv	encore
prep:art	de
n	caste
co	hein
prep	malgré
det:dem&MASC&SING	ce
n	clivage
adj-MASC	social
det:dem&MASC&SING	ce
n	cloisonnement
PCT	.
n-SING	social
adv	historiquement
v-PP	connaître
conj	mais
conj	qu'
pro:y	en
?	est–il
adv	aujourd'hui
adv	donc
pro:rel	qui
pro:refl	se
v	proposer
prep	pour
v:mdllex-INF	faire
det:dem&MASC&SING	ce
n	travail
PCT	.
adv	un+peu+plus
v-PP	fournir
conj	que
det&PL	les
adj	petit
n	exposé
conj	que
pro:subj	vous
pro:refl	me
v:aux	avoir
v:mdllex-PP	faire
?	d'habitude
conj	et
pro:rel	qui
v:aux&FUT	être
v-PP	rémunérer
prep	à
det:poss&FEM&SING	sa
adj	juste
n	valeur
PCT	.
pro:subj	nous
PCT	.
pro&SING	moi
conj	et
?	¤Pren1¤
PCT	.
?	¤Pren3¤
conj	et
?	¤Pren1¤
v:exist	c'est
adv	bien
pro:subj&FEM	elle
v:aux	avoir
v-PP	donner
det:poss&MASC&SING	son
n	avis
v:exist	c'est
adv:neg	pas
adv	très
adj	démocratique
pro:dem	ça
v:exist	c'est
n:prop	O
PCT	.
n:prop	K
PCT	.
?	¤Pren1¤
PCT	.
adv:yn	non
PCT	.
adv	mais
adv	si
PCT	.
co	ben
pro:subj	vous
v:mdllex	pouvoir
adj	juste
v-INF	répéter
det&FEM&SING	la
n	question
PCT	.
det&MASC&SING	le
n	mode
PCT	.
adj-MASC	électoral
PCT	.
prep	en
pro:int	quoi
PCT	.
det&SING	le/la
n:prop	Inde
?	est–elle
det&FEM&SING	la
adv	plus
adj	grand
n	démocratie
det&MASC&SING	du
n	monde
?	est–ce
conj	que
det&PL	les
n	élection
v:exist	être
adv	bien
adj	démocratique
PCT	.
?	est–ce
conj	qu'
v:exist	il+y+a
det&FEM&SING	une
n	compétition
adj	pacifique
det&MASC&SING	un
n	pluralisme
n	politique
conj	et
det&FEM&SING	une
n	compétition
adj	équitable
prep:art	en
n	gros
co	hein
PCT	.
adv:neg	pas
prep:art	de
n	question
prep	sur
det:dem&MASC&SING	ce
?	point–là
pro:subj	on
v:mdl	pouvoir
v-INF	passer
prep:art	au
adv	point
adj	suivant
adv	donc
adv	point
n:prop	B
pro:subj	je
v:mdl	aller
pro:obj&SING	le/la
v-INF	écrire
adv	point
n:prop	B
PCT	.
pro:obj&PL	les
v-PP	partir
n	politique
conj	alors
pro:subj	on
v:mdl	aller
pro:refl	se
v-INF	poser
det&FEM&SING	une
n	question
pro:obj&PL	les
v-PP	partir
n	politique
det&MASC&SING	un
n	rôle
adj-MASC	central
PCT	.
v:exist	c'est
det&FEM&SING	une
n	question
pro:dem	ça
v:mdl	vouloir
adv:neg	pas
v-INF	dire
conj	que
det&FEM&SING	la
n	réponse
v:exist	être
adv:yn	oui
det&MASC&SING	un
n	rôle
adj-MASC	central
prep	dans
PCT	.
det&FEM&SING	la
n	compétition
n	politique
adv	bien+sûr
adv:neg	pas
det&MASC&SING	un
n	rôle
adj-MASC	central
prep	pour
adj	autre
n	chose
adv	d'accord
adv	donc
adv	déjà
prep	à
?	brûle–pourpoint
PCT	.
prep	comme
pro:dem	ça
pro:subj	vous
v	connaître
adv	combien
prep:art	de
v-PP	partir
n	politique
prep	en
n:prop	France
adv	donc
PCT	.
v	prendre
det&FEM&SING	la
n	parole
prep:art	en
n	levant
det&MASC&SING	le
n	doigt
PCT	.
num	dix
adv:yn	non
PCT	.
