on	ouh
PCT	.
conj	et
co	ben
det&FEM&SING	la
n	maman
pro:subj&FEM	elle
v:mdllex	faire
det&PL	des
n	oeuf
PCT	.
pro:subj&FEM	elle
pro:obj&PL	les
v	couvrir
PCT	.
conj	et+puis
pro:subj&FEM	elle
v	attendre
conj	que
det&PL	les
n	oiseau
PCT	.
pro:subj&MASC	ils
v	naître
PCT	.
adv	d'accord
PCT	.
conj	et
det&MASC&SING	un
n	jour
conj	quand
pro:subj	on
v:exist&IMPF	être
prep	à
det&FEM&SING	la
n	ferme
PCT	.
prep	chez
det&PL	les
adj	moyen
PCT	.
pro&SING	moi
conj	et
n:prop	Léa
conj	et
det&PL	les
pro	autres
conj	et
co	ben
PCT	.
pro:subj&MASC	il
pro:y	y
v:poss&IMPF	avoir
det&FEM&SING	une
n	madame
PCT	.
pro:int	qui
pro:subj	nous
v:aux	avoir
v-PP	montrer
det&MASC&SING	le
n	corps
prep	de
det&FEM&SING	la
n	poule
PCT	.
adv:int	comment
pro:subj&FEM	elle
v:aux	avoir
v:mdllex-PP	faire
v&PP-MASC	sortir
PCT	.
conj	et
co	ben
pro:subj&FEM	elle
pro:subj	nous
pro:subj&FEM	elle
pro:subj	nous
PCT	.
pro:subj&FEM	elle
pro:subj	nous
v:aux	avoir
v-PP	montrer
det&SING	le/la
n	oeuf
PCT	.
adv:place	après
pro:subj&FEM	elle
pro:obj&SING	le/la
v:aux	avoir
v-PP	casser
conj	et
pro:subj&FEM	elle
pro:obj&SING	le/la
v:aux	avoir
adv:neg	pas
v:mdllex-PP	faire
v-INF	cuire
PCT	.
conj	mais
pro:subj&FEM	elle
v:aux	avoir
v-PP	montrer
pro:int	où
pro:subj&MASC	il
v:exist	être
det&MASC&SING	le
n	bébé
PCT	.
adv:yn	oui
PCT	.
?	béb–
PCT	.
adv	enfin
pro:rel	ce+qui
v:aux&COND	avoir
adv:neg	pu
v:exist&INF	être
det&MASC&SING	un
n	bébé
PCT	.
prep	dans
det&MASC&SING	un
n	pot
PCT	.
conj	et+puis
pro:subj&FEM	elle
pro:subj	nous
PCT	.
prep	dans
det&MASC&SING	un
n	pot
PCT	.
adv:yn	ouais
PCT	.
conj	mais
pro:subj&FEM	elle
v:aux	avoir
v-PP	casser
det&SING	le/la
n	oeuf
PCT	.
prep:art	pour
?	*
v:mdllex&INF	savoir
PCT	.
pro:int	où
pro:subj&MASC	il
v:exist	être
det&MASC&SING	le
n	bébé
PCT	.
adv	d'accord
adv:yn	ouais
PCT	.
adv	et+puis
co	euh
PCT	.
conj	et
det&FEM&SING	la
n	dam
pro:subj&FEM	elle
prep	de
det&FEM&SING	la
n	ferme
pro:subj&FEM	elle
pro:subj	nous
v:aux	avoir
v:mdllex-PP	faire
co	euh
PCT	.
v-INF	porter
det&PL	les
n	poule
PCT	.
adv:yn	ouais
pro:subj&FEM	elle
pro:obj&PL	les
pro:subj&FEM	elles
det&PL	les
PCT	.
pro:subj&FEM	elle
det&PL	les
PCT	.
pro:obj&PL	les
v-IMPF	aimer
adv	bien
det:poss&PL	ses
n	poule
PCT	?
adv:yn	oui
PCT	.
conj	et
adv	alors
?	est–ce
conj	qu'
pro:subj&FEM	elle
pro	leur
v:aux&IMPF	avoir
PCT	.
v-PP	donner
det&MASC&SING	un
n	nom
PCT	?
co	hum
pro:subj	on
v:mdl	savoir
adv:neg	pas
adv	encore
pro:subj&FEM	elle
pro:subj	nous
v:aux	avoir
adv:neg	pas
adj	dit
PCT	.
adv:yn	non
PCT	?
pro:subj&FEM	elle
pro:subj	vous
v:aux	avoir
adv:neg	pas
adj	dit
n	bon
PCT	.
adv:yn	non
PCT	.
adv	maintenant
pro:dem	ça
v:exist	c'est
?	,
pro:dem	ça
det&MASC&SING	un
n	nom
pro:dem	ça
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
v:exist	c'est
pro:int	quoi
PCT	?
PCT	.
v:exist	c'est
det&MASC&SING	un
v:exist	c'est
det&MASC&SING	un
n	banc
PCT	.
n	fauteuil
PCT	.
adv:yn	ouais
det&MASC&SING	un
n	banc
det&MASC&SING	un
n	fauteuil
PCT	.
conj	et
det&MASC&SING	un
n	jour
det:poss&SING	ma
n	maman
conj	quand
pro:subj&FEM	elle
v:exist&IMPF	être
n	petit
PCT	.
conj	et
co	ben
conj	et
co	ben
pro:subj&FEM	elle
pro:refl	se
v:aux	être
pro:subj&FEM	elle
v:aux	avoir
PCT	.
v:exist	il+y+a
det&FEM&SING	une
n	maman
PCT	.
pro:int	qui
pro:refl	se
v:aux	être
v-PP	tromper
prep:art	de
n	nom
PCT	.
pro&FEM	elle
pro:subj&FEM	elle
?	voul–
PCT	.
pro:subj&FEM	elle
?	voul–
v:aux	avoir
v:mdllex&PP&MASC	vouloir
pro:obj&SING	le/la
v-INF	appeler
n:prop	Titi
PCT	.
adv	mais
prep:art	en
n	fait
v:exist&IMPF	c'est
PCT	.
co	hum
PCT	.
n:prop	Olga
PCT	.
v:exist	c'est
adj	vrai
?	,
PCT	?
adv	d'accord
adv:yn	oui
PCT	.
conj	mais
pro:subj&FEM	elle
v:aux	avoir
v-PP	changer
prep:art	de
n	prénom
PCT	.
adv	d'accord
adv	maintenant
v:exist	c'est
n:prop	Olga
PCT	.
adv:yn	oui
PCT	.
adv:yn	ouais
conj	alors
pro:subj	je
adj	continu
adv	toujours
det:poss&SING	ma
adj	petit
n	idée
PCT	.
pro:subj	nous
pro:subj	on
v:aux	avoir
v-PP	donner
det&MASC&SING	un
n	nom
prep	à
pro:dem	ça
PCT	.
pro:subj	on
v:aux	avoir
v-PP	dire
conj	que
pro:dem	ça
pro:refl	se
v-IMPF	appeler
PCT	.
det&MASC&SING	un
n	banc
PCT	.
adv:yn	oui
PCT	.
adv	mais
?	est–ce
conj	que
v:exist	c'est
det&FEM&SING	la
adj	même
n	chose
conj	que
n:prop	Olga
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	.
conj	alors+que
?	est–ce
conj	que
v:exist	c'est
PCT	?
det:gen	quelle
v:exist	être
det&FEM&SING	la
n	différence
PCT	?
PCT	.
conj	parce
conj	que
det&MASC&SING	le
n	banc
pro:subj&MASC	il
?	***
PCT	.
conj	parce
conj	que
det&FEM&SING	une
n	maman
PCT	.
v:exist	c'est
adv:neg	pas
adj	pareil
conj	qu'
det&MASC&SING	un
n	banc
PCT	.
co	ah
adv:yn	non
pro:dem	ça
v:exist	c'est
adj	sûr
PCT	.
conj	alors
det:gen	quelle
v:exist	être
det&FEM&SING	la
n	différence
PCT	.
v	entrer
det&PL	les
n	nom
conj	qu'
pro:subj	on
v	donner
det	aux
n	enfant
PCT	.
conj	et
det&PL	les
n	nom
prep	comme
det&MASC&SING	le
n	banc
PCT	?
co	ah
conj	parce
adv	que
co	euh
PCT	.
conj	parce
conj	que
v:exist	c'est
adv:neg	pas
co	euh
PCT	.
adv:yn	ouais
PCT	.
adv:yn	ouais
PCT	.
v:exist	c'est
adv:neg	pas
pro:int	quoi
PCT	?
det&FEM&SING	la
adj	même
n	chose
conj	qu'
det&FEM&SING	une
PCT	.
adv:yn	non
PCT	.
n	maman
PCT	.
conj	ou
conj	que
pro&SING	toi
PCT	.
co	ben
adv:yn	oui
co	hum
conj	qu'
det&MASC&SING	un
?	,
prep	avec
det&MASC&SING	un
adj	petit
n	bébé
PCT	.
v:exist	c'est
pro:int	quoi
det&FEM&SING	la
n	différence
PCT	?
conj	parce
pro:int	ce+que
pro:dem	ça
v:exist	c'est
det&MASC&SING	un
n	objet
PCT	.
conj	et
det&PL	les
n	bébé
v:exist	c'est
n	vivant
PCT	.
adv	exactement
conj	et
?	co–
PCT	.
conj	et
det&PL	les
n	bébé
det&PL	des
det&PL	des
n	fo^n|fois
PCT	.
adv:yn	ouais
PCT	.
conj	et
?	***
pro:subj&MASC	il
pro:refl	me
v:aux	avoir
v-PP	montrer
det&FEM&SING	une
n	blague
PCT	.
prep:art	en
n	fait
v:exist	c'est
det&MASC&SING	un
n	bébé
PCT	.
pro:int	qui
v-PASS	conduire^v|conduire
prep	dans
det&MASC&SING	le
n	ventre
adv	à
n:prop	maman
adv	mais
conj	et
PCT	.
conj	et
?	,
pro:y	en
v:mdllex	faire
pro:dem	ça
v:exist	c'est
prep	pour
prep:art	de
n	vrai
PCT	.
v:exist	c'est
adj	juste
det&FEM&SING	une
n	blague
PCT	.
adv:yn	ouais
adv:yn	ouais
PCT	.
det&MASC&SING	un
n	jour
conj	quand
pro:subj	je
v:exist&IMPF	être
PCT	.
prep	dans
det&MASC&SING	le
n	ventre
prep	de
n:prop	Maman
PCT	.
?	j–
pro:subj	je
v:exist&IMPF	être
prep	en+train+de
v-INF	dormir
PCT	.
conj	et
co	euh
pro:subj	je
v:exist&IMPF	être
?	***
det&SING	le/la
n-SING	hôpital
PCT	.
co	hum
PCT	.
conj	et
conj	quand
pro:subj	je
v	sortir
PCT	.
conj	et
co	ben
conj	et
co	ben
pro:subj&FEM	elle
det:poss&SING	ma
adj	dit
PCT	.
v:exist&IMPF	c'est
v:exist&IMPF	c'est
det&FEM&SING	une
n	fille
conj	ou
det&MASC&SING	un
n	garçon
PCT	.
adv:yn	ouais
PCT	.
conj	alors
pro&SING	moi
pro:subj	je
v:aux	avoir
PCT	.
conj	alors
pro&SING	moi
pro:subj	je
v:aux	avoir
conj	quand
pro:subj	je
v:poss&IMPF	avoir
adj:num	trois
n	an
PCT	.
pro:subj	je
v:aux	avoir
v-PASS	dire^v|dire
conj	que
v:exist&IMPF	c'est
det&FEM&SING	une
n	fille
PCT	.
adv	d'accord
PCT	.
v:exist&IMPF	c'est
pro&SING	toi
pro:rel	qui
v:aux&IMPF	être
v&PP	naître
PCT	?
adv:yn	oui
adv	d'abord
PCT	.
adv:yn	oui
PCT	.
det:poss&MASC&SING	mon
n	frère
conj	puis
prep	après
n:prop	Alex
PCT	.
adv	d'accord
PCT	.
pro:subj&MASC	ils
v:exist	être
adv:neg	pas
adj	né
n	ensemble
PCT	?
v:exist	c'est
adv:neg	pas
det&PL	des
adj-MASC	jumeau
PCT	?
co	euh
adv:yn	non
v:exist	c'est
adv	d'abord
n:prop	Alex
conj	et
adv:place	après
pro&SING	moi
PCT	.
adv	d'accord
?	ok
PCT	.
n	bon
conj	et
co	ben
pro:subj	on
v:aux	avoir
v:mdllex-PP	faire
det&FEM&SING	une
n	grand
n	découvert
PCT	.
pro:rel	qu'
?	est–ce
conj	qu'
pro:subj	on
v:aux	avoir
v-PP	découvrir
PCT	?
adv:yn	oui
PCT	.
pro:rel	qu'
pro:subj	on
v-IMPF	donner
det&PL	des
n	nom
prep	à
pro&MASC	tout
PCT	.
adv:yn	oui
PCT	.
conj	mais
conj	que
v:exist&IMPF	c'est
adv:neg	pas
adj	pareil
PCT	.
det&PL	les
n	nom
conj	qu'
pro:subj	on
v-IMPF	donner
det	aux
n	banc
conj	et
PCT	.
pro&SING	toi
pro:subj	tu
v:aux	avoir
v-PP	trouver
conj	que
v:exist&IMPF	c'est
conj	parce+que
PCT	?
PCT	.
v:exist	c'est
adv:neg	pas
det&FEM&SING	la
adj	même
n	chose
PCT	.
adv:yn	ouais
conj	parce
conj	que
v:exist&IMPF	c'est
v:exist&IMPF	c'est
n	vivant
PCT	.
?	***
det&MASC&SING	un
n	bébé
PCT	.
adv:yn	oui
conj	mais
adv:neg	pas
det&MASC&SING	un
n	banc
PCT	.
v:exist	c'est
adv:neg	pas
n	vivant
det&MASC&SING	un
n	banc
PCT	.
adv:yn	non
co	ben
pro:subj	on
pro&SING	lui
v	donner
PCT	.
adv	quand+même
pro&MASC	un
det&MASC&SING	un
n	nom
adv	mais
PCT	.
?	*
PCT	.
?	est–ce
adv	que
?	celui–là
pro:subj	on
pro:obj&SING	le/la
v	appeler
prep	comme
?	celui–là
PCT	?
adv:yn	non
conj	parce
conj	que
?	celui–là
PCT	.
pro:subj&MASC	il
v:aux	être
v-PP	accrocher
PCT	.
pro:subj&MASC	il
v:mdl	pouvoir
pro:refl	se
v-INF	plier
PCT	.
adv	d'accord
PCT	.
conj	et
pro:subj	tu
v	croire
conj	que
pro:dem	ça
pro:refl	se
v	appeler
adv:neg	pas
PCT	.
det&MASC&SING	un
n	banc
PCT	?
adv	si
PCT	.
adv:yn	oui
PCT	.
conj	et
co	ben
adv	alors
v:exist	c'est
det&MASC&SING	le
adj	même
n	nom
PCT	.
conj	mais
adj	sauf
adj	sauf
adv	que
n	s
?	c–
PCT	.
v:exist	il+y+a
adv:neg	pas
det&PL	les
n	barre
prep	comme
pro:dem	ça
adv:place	là
PCT	.
adv:yn	ouais
conj	mais
n	pareil
conj	mais
?	*
conj	mais
adv	d'accord
PCT	.
pro:subj&MASC	il
v:exist	être
adv:neg	pas
adv	tout+à+fait
adj	pareil
PCT	.
conj	mais
pro:subj	on
v	appeler
adv	quand+même
pro:dem	ça
det&MASC&SING	un
n	banc
PCT	.
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
conj	et
?	celui–
adv:place	là
PCT	?
co	hum
v:exist	c'est
adv	aussi
PCT	.
?	*
PCT	.
det&MASC&SING	un
n	banc
PCT	.
conj	et
?	celui–là
PCT	?
adv	aussi
PCT	.
conj	alors+que
pro&SING	toi
PCT	.
co	hum
PCT	.
pro:subj	tu
pro:refl	te
v	appeler
adv:int	comment
PCT	?
n:prop	Léa
PCT	.
n:prop	Léa
PCT	.
conj	et
pro&SING	toi
PCT	?
n:prop	Aurélia
PCT	.
conj	et
pro&SING	moi
PCT	?
n:prop	Christine
PCT	.
PCT	.
pro:dem	ça
v:mdl	vouloir
v-INF	dire
conj	que
det&PL	les
n	chose
PCT	.
pro:int	qui
adv:neg	ne
v	vivre
adv:neg	pas
pro:subj	on
pro	leur
PCT	.
adv	mais
PCT	.
v	donner
PCT	?
adv:neg	pas
prep:art	à
n	manger
PCT	.
co	hum
PCT	.
conj	parce
conj	que
PCT	.
pro:subj	on
pro	leur
v	donner
adv:neg	pas
prep	à
v-INF	manger
pro:dem	ça
v:exist	c'est
adj	sûr
PCT	.
conj	parce
conj	que
pro:dem	ça
v:aux	avoir
adv:neg	pas
?	d–
PCT	.
pro:dem	ça
v:aux	avoir
adv:neg	pas
prep:art	de
n	bouche
pro:dem	ça
v:aux	avoir
adv	rien
adv:neg	ni
PCT	.
adv	rien
det&MASC&SING	du
PCT	.
prep:art	de
n	pied
PCT	.
pro:subj	je
v	regretter
PCT	.
pro:dem	ça
pro:subj	on
v	appeler
pro:dem	ça
det&MASC&SING	le
n	pied
prep	de
adv	avant
PCT	.
adv:yn	non
conj	mais
conj	si
pro:dem	ça
v:poss	avoir
det&PL	des
n	doigt
prep:art	de
n	pied
PCT	.
pro:dem	ça
pro:dem	ça
v	marcher
adv:neg	pas
PCT	.
adv:yn	non
PCT	.
n	bon
conj	et
co	ben
pro:subj	je
pro:subj	vous
v	remercier
PCT	.
pro:subj	on
v:aux	avoir
adv	bien
v-PP	discuter
PCT	.
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	?
pro:subj	je
pro:subj	vous
v	remercier
adv	beaucoup
PCT	.
pro:subj	je
v:mdl	aller
adv:neg	pas
pro:subj	vous
v-INF	garder
PCT	.
pro:subj	vous
v:mdl	aller
v:mdllex&INF	aller
v-INF	rejoindre
det&PL	les
pro	autres
adv	d'accord
PCT	?
adv:yn	oui
pro:subj	on
v:mdl	pouvoir
v-INF	prendre
?	*
PCT	.
adv:yn	oui
v:exist	c'est
conj	pour
PCT	.
